VERSION_HISTORY_CODE,VERSION_DATE,VERSION_NUMBER,VERSION_REMARKS,SUPERCEDED_BY,SUPERCEDES
51,2009-02-10 00:00,6.18.3,Version 6.18.3 registry interim data release.,7.1,6.18.1
52,2009-06-02 00:00,7.1,"Version 7.1 marks the transition of the master dataset from the Access database to the online Registry. It also marks a change in the version of MS Access in which the database is distributed, from v97 to v2000.",7.1.1,6.18.3
53,2009-06-07 00:00,7.1.1,Registry interim release. Registry software v1.2.5 loaded. Change requests 2009.023 and 2009.039 released.,7.1.2,7.1
54,2009-06-30 00:00,7.1.2,Version 7.1.2 registry interim data release.,7.1.3,7.1.1
55,2009-07-01 00:00,7.1.3,Version 7.1.3 registry interim data release.,7.1.4,7.1.2
56,2009-07-03 00:00,7.1.4,Version 7.1.4 registry interim data release.,7.1.5,7.1.3
57,2009-07-04 00:00,7.1.5,Version 7.1.5 registry interim data release.,7.1.6,7.1.4
58,2009-07-22 00:00,7.1.6,Version 7.1.6 registry interim data release.,7.1.7,7.1.5
59,2009-07-29 00:00,7.1.7,Version 7.1.7 registry interim data release.,7.1.8,7.1.6
60,2009-09-05 00:00,7.1.8,Version 7.1.8 registry interim data release.,v7.1.9,7.1.7
61,2009-10-29 00:00,v7.1.9,Version 7.1.9 registry interim data release.,7.1.10,7.1.8
62,2009-10-30 00:00,7.1.10,Registry interim release. Registry software v1.2.6 loaded 2009-10-29. This release generates updated export files but registry data is otherwise unchanged from Dataset v7.1.9.,7.1.11,v7.1.9
63,2009-11-01 00:00,7.1.11,Registry interim release. Registry script run. This release generates updated export files but registry data is otherwise unchanged from Dataset v7.1.9.,7.1.12,7.1.10
64,2009-11-12 00:00,7.1.12,Registry interim release. Registry software v1.2.7 loaded.,7.2,7.1.11
65,2009-11-24 00:00,7.2,Version 7.2 release.,7.3,7.1.12
66,2009-11-25 00:00,7.3,Version 7.3 data release.,7.4,7.2
67,2009-11-25 00:00,7.4,Version 7.4. Re-release of version 7.2 as export files not generated.,7.4.1,7.3
68,2010-02-01 00:00,7.4.1,Version 7.4.1 interim dataset release. No geodetic data changes from v7.4. Made to resolve duplication of latest version release date - see change request 2010.009.,7.4.2,7.4
69,2010-02-13 00:00,7.4.2,"Registry interim release. Registry software v1.2.10 loaded. Change requests 2009.104, 2010.007 and 2010.015 released.",7.4.3,7.4.1
70,2010-02-18 00:00,7.4.3,"Registry interim data release. Change requests 2010.018, 2010.012, 2010.005, 2009.030, 2009.008 and 2008.098 released.",7.4.4,7.4.2
71,2010-03-01 00:00,7.4.4,"Registry interim data release. Change requests 2010.024, 2010.020, 2010.014, 2010.008, 2010.003 and 2009.024 released.",7.4.5,7.4.3
72,2010-03-05 00:00,7.4.5,"Registry interim data release. Change requests 2009.031, 2009.105 and 2010.026 released.",7.4.6,7.4.4
73,2010-03-30 00:00,7.4.6,Preliminary release for v7.5.,7.4.7,7.4.5
74,2010-03-30 00:00,7.4.7,Second preliminary release for v7.5,7.4.8,7.4.6
75,2010-03-31 00:00,7.4.8,Third preliminary release for v7.5,7.4.9,7.4.7
76,2010-03-31 00:00,7.4.9,Fourth preliminary release for v7.5,7.5,7.4.8
77,2010-03-31 00:00,7.5,Version 7.5 release of full Dataset.,7.5.0.1,7.4.9
78,2010-03-31 00:00,7.5.0.1,Missing association corrected for v7.5 release.,7.5.1,7.5
79,2010-05-02 00:00,7.5.1,Registry interim data release. Change requests 2008.112 and 2010.048 released.,7.5.2,7.5.0.1
80,2010-05-20 00:00,7.5.2,Registry interim data release. Change requests 2010.052 and 2010.055 released.,7.5.3,7.5.1
81,2010-06-27 00:00,7.5.3,"Registry interim data release. Change requests 2010.001, 2010.011, 2010.023, 2010.047 and 2010.059 released.",7.5.4,7.5.2
82,2010-06-29 00:00,7.5.4,"Registry interim data release. Change requests 2010.049, 2010.053 and 2010.061 released.",7.5.5,7.5.3
83,2010-06-29 00:00,7.5.5,Release to generate export files not made during 7.5.4 release.,7.5.6,7.5.4
84,2010-06-30 00:00,7.5.6,Registry interim data release. Change requests 2010.050 and 2010.068 released.,7.5.7,7.5.5
85,2010-07-07 00:00,7.5.7,Registry interim data release. Change request 2010.072 released.,7.5.8,7.5.6
86,2010-07-13 00:00,7.5.8,"Registry interim data release. Change requests 2010.054, 2010.064, 2010.070 and 2010.074 released.",7.5.9,7.5.7
87,2010-09-24 00:00,7.5.9,"Registry interim data release. Change requests 2010.057, 2010.077, 2010.078, 2010.080, 2010.083, 2010.084 and 2010.087 released.",7.6,7.5.8
88,2010-11-02 00:00,7.6,Version 7.6 release of full Dataset.,7.6.0.1,7.5.9
89,2010-11-03 00:00,7.6.0.1,Missing association corrected for v7.6 release.,7.6.1,7.6
90,2010-11-12 00:00,7.6.1,Registry interim data release. Change requests 2010.099 and 2010.101 released.,7.6.2,7.6.0.1
91,2010-12-07 00:00,7.6.2,Registry interim data release. Change requests 2010.100 and 2010.107 released.,7.6.3,7.6.1
92,2010-12-08 00:00,7.6.3,Registry interim data release. Change requests 2010.032 and 2010.103 released.,7.6.4,7.6.2
93,2011-01-25 00:00,7.6.4,Registry interim data release. Change requests 2011.001 and 2011.003 through 2011.006 released.,7.6.5,7.6.3
94,2011-02-04 00:00,7.6.5,Registry interim data release. Change requests 2011.009 and 2011.014 released.,7.6.6,7.6.4
95,2011-02-25 00:00,7.6.6,"Registry interim data release. Change requests 2010.095, 2011.007 and 2011.012 to 2011.016 released.",7.6.7,7.6.5
96,2011-03-14 00:00,7.6.7,Registry interim data release. Change request 2010.106 released.,7.6.8,7.6.6
97,2011-03-21 00:00,7.6.8,"Registry interim data release. Change requests 2010.097, 2011.018 and 2011.023 released.",7.6.9,7.6.7
98,2011-03-28 00:00,7.6.9,"Registry interim data release. Change requests 2009.028, 2011.021 2011.022, 2011.027 and 2011.031 released.",7.7,7.6.8
99,2011-05-09 00:00,7.7,Version 7.7 release of full Dataset.,7.7.1,7.6.9
100,2011-06-20 00:00,7.7.1,"Registry interim data release. Change requests 2011.041, 2011.043, 2011.048 and 2011.052 released.",7.8,7.7
101,2011-06-30 00:00,7.8,Version 7.8 release of full Dataset.,7.8.1,7.7.1
102,2011-07-10 00:00,7.8.1,Registry interim data release. Change request 2011.057 released.,7.8.2,7.8
103,2011-07-20 00:00,7.8.2,"Registry interim data release. Change requests 2011.059, 2011.061 and 2011.062 released.",7.8.3,7.8.1
104,2011-07-27 00:00,7.8.3,"Registry interim data release. Released change requests 2011.019, 2011.026, 2011.053, 2011.064, 2011.066, 2011.067 and 2011.068.",7.8.4,7.8.2
105,2011-08-03 00:00,7.8.4,Registry interim data release. Released change request 2011.071.,7.9,7.8.3
106,2011-08-17 00:00,7.9,Version 7.9 release of full Dataset.,7.9.1,7.8.4
107,2011-10-08 00:00,7.9.1,"Registry interim data release. Released change requests 2011.044, 2011.074, 2011.081, 2011.083, 2011.084, 2011.086 and 2011.089.",7.9.2,7.9
108,2011-10-09 00:00,7.9.2,Registry interim data release. Released change request 2011.092.,7.9.3,7.9.1
109,2012-01-05 00:00,7.9.3,"Registry interim data release. Released change requests 2011.082, 2011.087, 2011.088, 2011.090, 2011.094, 2011.095, 2011.100, 2011.103, 2011.105, 2011.108, 2011.109, 2011.110, 2011.112, 2011.113 and 2012.001.",7.9.4,7.9.2
110,2012-01-21 00:00,7.9.4,"Registry interim data release. Released change requests 2010.062, 2010.105, 2011.011, 2011.104, 2011.114, 2012.003, 2012.004, 2012.005, 2012.006, 2012.007 and 2012.010.",7.9.5,7.9.3
