"","coords.x1","coords.x2","scientific"
"156",55.1099999999999,-3.16999999999999,"Sphyrna mokarran"
"157",52.0099999999999,-3,"Sphyrna mokarran"
"158",-90.3167,-0.75,"Sphyrna mokarran"
"159",55.9414,-0.5432,"Sphyrna mokarran"
"160",55.9414,-0.5432,"Sphyrna mokarran"
"161",55.2299999999999,0.05,"Sphyrna mokarran"
"162",52.922226666667,0.05031,"Sphyrna mokarran"
"163",52.922226666667,0.05031,"Sphyrna mokarran"
"164",55.9390033333329,0.335393333333329,"Sphyrna mokarran"
"165",56.00007,0.3521,"Sphyrna mokarran"
"166",56.0503799999999,0.352169999999999,"Sphyrna mokarran"
"167",50.586933333333,0.402399999999999,"Sphyrna mokarran"
"168",56.016826666667,0.41916666666667,"Sphyrna mokarran"
"169",56.016826666667,0.41916666666667,"Sphyrna mokarran"
"170",56.0335333333329,0.41916666666667,"Sphyrna mokarran"
"171",56.0503,0.43593333333333,"Sphyrna mokarran"
"172",55.972546666667,0.519786666666669,"Sphyrna mokarran"
"173",56.888693333333,1.0671466666667,"Sphyrna mokarran"
"174",-2.5168056,2.4168057,"Sphyrna mokarran"
"175",118.639,4.10537,"Sphyrna mokarran"
"176",72.9782,4.261,"Sphyrna mokarran"
"177",53.1006,5.4024,"Sphyrna mokarran"
"178",-19.733473,6.933472,"Sphyrna mokarran"
"179",-19.733473,6.933472,"Sphyrna mokarran"
"180",-19.733473,6.933472,"Sphyrna mokarran"
"181",-19.733473,6.933472,"Sphyrna mokarran"
"182",-19.733473,6.933472,"Sphyrna mokarran"
"183",-19.733473,6.933472,"Sphyrna mokarran"
"184",-19.733473,6.933472,"Sphyrna mokarran"
"185",-19.733473,6.933472,"Sphyrna mokarran"
"186",-19.733473,6.933472,"Sphyrna mokarran"
"187",-19.733473,6.933472,"Sphyrna mokarran"
"188",-19.733473,6.933472,"Sphyrna mokarran"
"189",-19.733473,6.933472,"Sphyrna mokarran"
"190",-19.733473,6.933472,"Sphyrna mokarran"
"191",-19.733473,6.933472,"Sphyrna mokarran"
"192",-19.733473,6.933472,"Sphyrna mokarran"
"193",-19.733473,6.933472,"Sphyrna mokarran"
"194",-19.733473,6.933472,"Sphyrna mokarran"
"195",-19.733473,6.933472,"Sphyrna mokarran"
"196",-19.733473,6.933472,"Sphyrna mokarran"
"197",-19.733473,6.933472,"Sphyrna mokarran"
"198",-19.733473,6.933472,"Sphyrna mokarran"
"199",-19.733473,6.933472,"Sphyrna mokarran"
"200",-19.733473,6.933472,"Sphyrna mokarran"
"201",-19.733473,6.933472,"Sphyrna mokarran"
"202",-19.733473,6.933472,"Sphyrna mokarran"
"203",-19.733473,6.933472,"Sphyrna mokarran"
"204",-19.733473,6.933472,"Sphyrna mokarran"
"205",-19.733473,6.933472,"Sphyrna mokarran"
"206",-19.733473,6.933472,"Sphyrna mokarran"
"207",-81.3183,19.387,"Sphyrna mokarran"
"208",55.2805,25.1962,"Sphyrna mokarran"
"209",33.9534,27.1386,"Sphyrna mokarran"
"210",33.9535,27.1399,"Sphyrna mokarran"
"211",-78.8599,27.5765,"Sphyrna mokarran"
"212",34.2585,27.7252,"Sphyrna mokarran"
"213",22.7545199999999,-36.838363333333,"Carcharhinus obscurus"
"214",151.297,-33.8005,"Carcharhinus obscurus"
"215",151.297,-33.8005,"Carcharhinus obscurus"
"216",44.838343333333,-33.536553333333,"Carcharhinus obscurus"
"217",44.838343333333,-33.536553333333,"Carcharhinus obscurus"
"218",44.016786666667,-33.318586666667,"Carcharhinus obscurus"
"219",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"220",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"221",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"222",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"223",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"224",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"225",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"226",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"227",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"228",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"229",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"230",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"231",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"232",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"233",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"234",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"235",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"236",43.838433333333,-33.1677666666669,"Carcharhinus obscurus"
"237",43.838433333333,-33.1174666666669,"Carcharhinus obscurus"
"238",43.838433333333,-33.1174666666669,"Carcharhinus obscurus"
"239",43.838433333333,-33.1174666666669,"Carcharhinus obscurus"
"240",43.838433333333,-33.1174666666669,"Carcharhinus obscurus"
"241",43.838433333333,-33.1174666666669,"Carcharhinus obscurus"
"242",43.838433333333,-33.1174666666669,"Carcharhinus obscurus"
"243",43.838433333333,-33.1174666666669,"Carcharhinus obscurus"
"244",43.838433333333,-33.1174666666669,"Carcharhinus obscurus"
"245",43.838433333333,-33.1174666666669,"Carcharhinus obscurus"
"246",43.838433333333,-33.1174666666669,"Carcharhinus obscurus"
"247",43.838433333333,-33.1174666666669,"Carcharhinus obscurus"
"248",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"249",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"250",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"251",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"252",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"253",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"254",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"255",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"256",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"257",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"258",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"259",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"260",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"261",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"262",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"263",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"264",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"265",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"266",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"267",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"268",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"269",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"270",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"271",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"272",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"273",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"274",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"275",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"276",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"277",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"278",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"279",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"280",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"281",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"282",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"283",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"284",43.8886333333329,-33.1174666666669,"Carcharhinus obscurus"
"285",43.9055,-33.1174666666669,"Carcharhinus obscurus"
"286",43.9055,-33.1174666666669,"Carcharhinus obscurus"
"287",43.9055,-33.1174666666669,"Carcharhinus obscurus"
"288",43.9055,-33.1174666666669,"Carcharhinus obscurus"
"289",43.9055,-33.1174666666669,"Carcharhinus obscurus"
"290",43.9055,-33.1174666666669,"Carcharhinus obscurus"
"291",43.9055,-33.1174666666669,"Carcharhinus obscurus"
"292",43.9055,-33.1174666666669,"Carcharhinus obscurus"
"293",43.9055,-33.1174666666669,"Carcharhinus obscurus"
"294",43.9055,-33.1174666666669,"Carcharhinus obscurus"
"295",43.9055,-33.1174666666669,"Carcharhinus obscurus"
"296",43.9055,-33.1174666666669,"Carcharhinus obscurus"
"297",43.9055,-33.1174666666669,"Carcharhinus obscurus"
"298",43.9055,-33.1174666666669,"Carcharhinus obscurus"
"299",43.9055,-33.1174666666669,"Carcharhinus obscurus"
"300",38.9390033333329,-28.385703333333,"Carcharhinus obscurus"
"301",38.9390033333329,-28.385703333333,"Carcharhinus obscurus"
"302",36.285133333333,-22.7043,"Carcharhinus obscurus"
"303",36.285133333333,-22.7043,"Carcharhinus obscurus"
"304",36.419226666667,-21.939003333333,"Carcharhinus obscurus"
"305",36.419226666667,-21.939003333333,"Carcharhinus obscurus"
"306",37.9389333333329,-20.1173666666669,"Carcharhinus obscurus"
"307",37.7042,-19.620366666667,"Carcharhinus obscurus"
"308",37.7042,-19.620366666667,"Carcharhinus obscurus"
"309",37.8886333333329,-19.5534,"Carcharhinus obscurus"
"310",36.989243333333,-19.0503199999999,"Carcharhinus obscurus"
"311",37.234833333333,-18.586933333333,"Carcharhinus obscurus"
"312",37.234833333333,-18.586933333333,"Carcharhinus obscurus"
"313",39.9557,-17.4695666666669,"Carcharhinus obscurus"
"314",40.167666666667,-17.285133333333,"Carcharhinus obscurus"
"315",40.167666666667,-17.285133333333,"Carcharhinus obscurus"
"316",40.9557,-16.419166666667,"Carcharhinus obscurus"
"317",40.486333333333,-16.0167666666669,"Carcharhinus obscurus"
"318",40.6037,-15.922216666667,"Carcharhinus obscurus"
"319",40.6037,-15.922216666667,"Carcharhinus obscurus"
"320",40.6037,-15.922216666667,"Carcharhinus obscurus"
"321",40.871866666667,-15.922216666667,"Carcharhinus obscurus"
"322",40.586933333333,-15.888733333333,"Carcharhinus obscurus"
"323",40.586933333333,-15.888733333333,"Carcharhinus obscurus"
"324",40.586933333333,-15.888733333333,"Carcharhinus obscurus"
"325",40.586933333333,-15.888733333333,"Carcharhinus obscurus"
"326",40.586933333333,-15.888733333333,"Carcharhinus obscurus"
"327",41,-14.2682666666669,"Carcharhinus obscurus"
"328",109.419166666669,-12.50309,"Carcharhinus obscurus"
"329",62.9055,-12.0168666666669,"Carcharhinus obscurus"
"330",61.4024,-11.737833333333,"Carcharhinus obscurus"
"331",61.4024,-11.737833333333,"Carcharhinus obscurus"
"332",60.486333333333,-11.4192666666669,"Carcharhinus obscurus"
"333",60.486333333333,-11.4192666666669,"Carcharhinus obscurus"
"334",60.9557,-11.4024,"Carcharhinus obscurus"
"335",60.9557,-11.4024,"Carcharhinus obscurus"
"336",60.9557,-11.4024,"Carcharhinus obscurus"
"337",60.9557,-11.4024,"Carcharhinus obscurus"
"338",60.9557,-11.4024,"Carcharhinus obscurus"
"339",60.9557,-11.4024,"Carcharhinus obscurus"
"340",60.9557,-11.4024,"Carcharhinus obscurus"
"341",60.9557,-11.4024,"Carcharhinus obscurus"
"342",60.9557,-11.4024,"Carcharhinus obscurus"
"343",60.9557,-11.4024,"Carcharhinus obscurus"
"344",60.9557,-11.4024,"Carcharhinus obscurus"
"345",60.486333333333,-11.385633333333,"Carcharhinus obscurus"
"346",60.6037,-11.385633333333,"Carcharhinus obscurus"
"347",60.6037,-11.385633333333,"Carcharhinus obscurus"
"348",60.486333333333,-11.3521,"Carcharhinus obscurus"
"349",60.486333333333,-11.3521,"Carcharhinus obscurus"
"350",60.4192666666669,-11.2179666666669,"Carcharhinus obscurus"
"351",60.469466666667,-11.184533333333,"Carcharhinus obscurus"
"352",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"353",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"354",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"355",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"356",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"357",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"358",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"359",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"360",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"361",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"362",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"363",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"364",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"365",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"366",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"367",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"368",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"369",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"370",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"371",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"372",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"373",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"374",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
