% Kutubdia: SEA
% Kutubdia
% 21.00N, 91.00E
% 09-Jan-1979 to 09-Jan-2017
% spectra_2100n09100e_bangladesh.mat
% YEAR MONTH DAY HOUR HS TP HSDIR UW WINDDIR
1979	1	27	12	0.00	NaN	NaN	2.81	324.81
1979	1	27	15	0.00	NaN	NaN	2.68	300.50
1979	1	27	18	0.00	NaN	NaN	2.67	244.88
1979	1	27	21	0.00	NaN	NaN	3.66	288.16
1979	1	28	0	0.27	2.08	325.20	6.46	341.70
1979	1	28	3	0.42	2.65	0.57	6.15	16.36
1979	1	28	6	0.48	3.14	27.64	3.86	15.39
1979	1	28	9	0.44	3.27	33.14	2.40	354.10
1979	1	28	12	0.00	NaN	NaN	2.33	285.86
1979	1	28	15	0.00	NaN	NaN	2.65	272.72
1979	1	28	18	0.00	NaN	NaN	2.80	263.75
1979	1	28	21	0.00	NaN	NaN	2.54	306.89
1979	1	29	0	0.00	NaN	NaN	4.25	358.68
1979	1	29	3	0.25	2.20	18.34	4.83	29.71
1979	1	29	6	0.27	2.47	24.90	3.62	13.04
1979	1	29	9	0.25	2.60	27.98	3.31	352.70
1979	1	29	12	0.00	NaN	NaN	2.77	292.88
1979	1	29	15	0.00	NaN	NaN	2.25	243.27
1979	1	29	18	0.22	1.74	306.08	6.28	295.27
1979	1	29	21	0.65	3.06	344.97	8.41	347.98
1979	1	30	0	0.70	3.69	5.45	4.52	33.01
1979	1	30	3	0.64	3.91	13.81	2.34	74.54
1979	1	30	6	0.54	3.92	15.36	1.44	37.67
1979	1	30	9	0.00	NaN	NaN	2.71	341.91
1979	1	30	12	0.00	NaN	NaN	2.44	303.69
1979	1	30	15	0.00	NaN	NaN	3.45	260.28
1979	1	30	18	0.00	NaN	NaN	2.86	282.75
1979	1	30	21	0.00	NaN	NaN	1.86	296.20
1979	1	31	0	0.00	NaN	NaN	0.93	78.82
1979	1	31	3	0.00	NaN	NaN	0.78	0.00
1979	1	31	6	0.00	NaN	NaN	0.94	134.07
1979	1	31	9	0.00	NaN	NaN	2.41	298.31
1979	1	31	12	0.00	NaN	NaN	1.66	356.04
1979	1	31	15	0.00	NaN	NaN	1.18	92.24
1979	1	31	18	0.00	NaN	NaN	1.36	202.30
1979	1	31	21	0.00	NaN	NaN	3.20	308.82
