% MOP_ID         ID             X              Y              RASTERVALU
           4602              1     194394.985    3818103.967        -10.020
           4602              1     194394.918    3818106.966         -9.992
           4602              1     194394.851    3818109.965         -9.963
           4602              1     194394.784    3818112.964         -9.934
           4602              1     194394.717    3818115.964         -9.903
           4602              1     194394.650    3818118.963         -9.871
           4602              1     194394.583    3818121.962         -9.842
           4602              1     194394.517    3818124.961         -9.840
           4602              1     194394.450    3818127.961         -9.840
           4602              1     194394.383    3818130.960         -9.837
           4602              1     194394.316    3818133.959         -9.811
           4602              1     194394.249    3818136.958         -9.780
           4602              1     194394.182    3818139.958         -9.748
           4602              1     194394.116    3818142.957         -9.718
           4602              1     194394.049    3818145.956         -9.685
           4602              1     194393.982    3818148.955         -9.650
           4602              1     194393.915    3818151.955         -9.616
           4602              1     194393.848    3818154.954         -9.582
           4602              1     194393.781    3818157.953         -9.548
           4602              1     194393.714    3818160.952         -9.514
           4602              1     194393.648    3818163.952         -9.480
           4602              1     194393.581    3818166.951         -9.445
           4602              1     194393.514    3818169.950         -9.412
           4602              1     194393.447    3818172.949         -9.379
           4602              1     194393.380    3818175.949         -9.348
           4602              1     194393.313    3818178.948         -9.317
           4602              1     194393.247    3818181.947         -9.284
           4602              1     194393.180    3818184.946         -9.250
           4602              1     194393.113    3818187.946         -9.216
           4602              1     194393.046    3818190.945         -9.182
           4602              1     194392.979    3818193.944         -9.150
           4602              1     194392.912    3818196.943         -9.119
           4602              1     194392.845    3818199.943         -9.085
           4602              1     194392.779    3818202.942         -9.047
           4602              1     194392.712    3818205.941         -9.012
           4602              1     194392.645    3818208.940         -8.977
           4602              1     194392.578    3818211.940         -8.938
           4602              1     194392.511    3818214.939         -8.898
           4602              1     194392.444    3818217.938         -8.857
           4602              1     194392.378    3818220.938         -8.812
           4602              1     194392.311    3818223.937         -8.771
           4602              1     194392.244    3818226.936         -8.730
           4602              1     194392.177    3818229.935         -8.683
           4602              1     194392.110    3818232.935         -8.627
           4602              1     194392.043    3818235.934         -8.568
           4602              1     194391.976    3818238.933         -8.514
           4602              1     194391.910    3818241.932         -8.468
           4602              1     194391.843    3818244.932         -8.421
           4602              1     194391.776    3818247.931         -8.372
           4602              1     194391.709    3818250.930         -8.316
           4602              1     194391.642    3818253.929         -8.259
           4602              1     194391.575    3818256.929         -8.202
           4602              1     194391.509    3818259.928         -8.133
           4602              1     194391.442    3818262.927         -8.072
           4602              1     194391.375    3818265.926         -8.012
