ast_id;name;city;neighbourhood;street;building;sand;peat;clay;bed_rock;sloping_area;flat_area_on_high_ground;flat_area_on_low_ground;red_space;grey_space;green_space_private_gardens;undeveloped_land_and_green_space_no_recreational_use;green_space_recreational_use_urban_farming;grey_green_space_sports_playground;blue_space;enables_multifunctional_land_use;low_slope_roofs;flat_roofs;very_low;low;medium;high;attenuation;infiltration;storage_harvesting;cooling;point;linear_conveyance;heatstress_threshold_capacity;heatstress_coping_capacity;drought_threshold_capacity;drought_coping_capacity;flood_threshold_capacity;flood_coping_capacity;multifunctional_landuse;type;show
12;Extra_intensive_green_roof;4;4;4;10;10;10;10;10;10;10;10;10;0;0;0;0;0;0;5;1;1;0;0;0;0;3;0;0;2;0;0;1;1;0;0;1;0;;Blue_Green;TRUE
13;Floating_puri-plants_(floatlands);4;10;4;4;10;10;10;10;0;10;10;0;0;5;0;0;0;10;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Blue_Green;TRUE
32;Seasonal_storage_(extra_storage_height_of_surface_water);4;10;4;0;10;10;10;10;4;10;10;0;0;0;10;0;0;0;3;0;0;1;0;0;0;3;0;5;0;0;0;0;0;1;1;1;0;;Blue_Green;TRUE
33;Shallow_infiltration_measures_boxes_(sand);0;4;10;10;10;4;4;0;4;10;4;5;10;10;6;6;6;0;4;0;0;0;1;0;0;0;5;0;0;1;0;0;0;1;0;1;0;;Blue;TRUE
42;Green_roofs_with_drainage_delay;0;0;4;10;10;10;10;10;10;10;10;10;0;0;0;0;0;0;5;1;1;0;0;0;0;4;0;0;2;0;0;1;1;0;0;1;0;;Blue_Green;TRUE
43;Bioswales__Infiltrating_filter_swales_on_sandy_soil;0;10;10;4;10;4;4;0;0;10;4;0;0;5;6;10;0;0;1;0;0;0;0;1;0;5;3;0;0;1;0;1;1;1;0;1;0;;Blue_Green;TRUE
68;Tree_cells;0;4;10;4;10;10;10;0;10;10;4;0;10;5;6;6;0;0;3;0;0;0;0;1;0;0;3;0;0;1;0;0;0;0;0;1;0;;Blue_Green;TRUE
69;French_drain;0;4;10;4;10;4;4;0;0;10;4;0;10;3;6;4;10;0;5;0;0;1;0;0;0;0;4;0;0;0;1;0;0;1;0;1;0;;Blue_Grey;TRUE
70;Infiltration_Recreation_Field;0;10;4;2;10;10;10;10;0;10;10;0;0;2;10;8;0;10;1;0;0;0;0;0;1;0;1;5;5;1;0;1;1;0;1;1;1;;Blue_Green;TRUE
71;Rainwater_detention_pond_(wet_pond);0;10;4;2;10;10;10;10;0;10;10;0;0;2;10;8;0;10;1;0;0;0;0;0;1;0;1;5;5;1;0;1;1;0;1;1;1;;Blue_Green;TRUE
72;Bioretention_cell;0;10;4;0;10;4;4;0;4;10;4;0;0;0;10;6;4;0;3;0;0;1;0;0;0;0;3;0;2;1;0;1;1;1;0;1;1;;Blue_Green;TRUE
73;Green_open_space;10;10;4;0;10;10;10;10;10;10;10;0;7;0;6;3;8;0;4;0;0;0;0;0;1;4;1;0;5;0;0;1;1;0;0;1;1;;Blue_Green;TRUE
74;Cistern;0;0;4;10;10;10;10;10;4;10;10;10;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;4;0;1;0;0;0;0;1;1;0;;Blue_Grey;TRUE
