DATASET;TITLE;WORKSPACE;STYLE;PATH
vertical_resistance_layer4.nc;vertical weerstand laag 4;ondergrond_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/verical_resistance/vertical_resistance_layer4.nc
vertical_resistance_layer3.nc;vertical weerstand laag 3;ondergrond_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/verical_resistance/vertical_resistance_layer3.nc
vertical_resistance_layer2.nc;vertical weerstand laag 2;ondergrond_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/verical_resistance/vertical_resistance_layer2.nc
vertical_resistance_layer1.nc;vertical weerstand laag 1;ondergrond_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/verical_resistance/vertical_resistance_layer1.nc
maaiveld.nc;maaiveld;maaiveld;ahn;NHI-data/Modellen/NHI/modelinvoer/ahn/maaiveld.nc
model_boundary_layer7.nc;modelgrens laag 7;modelgrens;boundary;NHI-data/Modellen/NHI/modelinvoer/ibound/model_boundary_layer7.nc
model_boundary_layer6.nc;modelgrens laag 6;modelgrens;boundary;NHI-data/Modellen/NHI/modelinvoer/ibound/model_boundary_layer6.nc
model_boundary_layer5.nc;modelgrens laag 5;modelgrens;boundary;NHI-data/Modellen/NHI/modelinvoer/ibound/model_boundary_layer5.nc
model_boundary_layer4.nc;modelgrens laag 4;modelgrens;boundary;NHI-data/Modellen/NHI/modelinvoer/ibound/model_boundary_layer4.nc
model_boundary_layer3.nc;modelgrens laag 3;modelgrens;boundary;NHI-data/Modellen/NHI/modelinvoer/ibound/model_boundary_layer3.nc
model_boundary_layer2.nc;modelgrens laag 2;modelgrens;boundary;NHI-data/Modellen/NHI/modelinvoer/ibound/model_boundary_layer2.nc
model_boundary_layer1.nc;modelgrens laag 1;modelgrens;boundary;NHI-data/Modellen/NHI/modelinvoer/ibound/model_boundary_layer1.nc
water_floor_elevation_winter_tertiary_system.nc;waterbodemhoogte tertiair systeem (winter);ontwatering_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/rivers/tertiary/water_floor_elevation_winter_tertiary_system.nc
water_floor_elevation_summer_tertiary_system.nc;waterbodemhoogte tertiair systeem (zomer);ontwatering_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/rivers/tertiary/water_floor_elevation_summer_tertiary_system.nc
stage_winter_tertiary_system.nc;waterpeil tertiair systeem (winter);oppervlaktewater_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/rivers/tertiary/stage_winter_tertiary_system.nc
stage_summer_tertiary_system.nc;waterpeil tertiair systeem (zomer);oppervlaktewater_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/rivers/tertiary/stage_summer_tertiary_system.nc
factor_of_infiltration_tertiary_system.nc;infiltratiefactor tertiair systeem;ontwatering_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/rivers/tertiary/factor_of_infiltration_tertiary_system.nc
conductance_tertiary_system.nc;doorlatendheid tertiair systeem;ontwatering_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/rivers/tertiary/conductance_tertiary_system.nc
water_floor_elevation_winter_secundary_system.nc;waterbodemhoogte secundair systeem (winter);ontwatering_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/rivers/secundary/water_floor_elevation_winter_secundary_system.nc
water_floor_elevation_summer_secundary_system.nc;waterbodemhoogte secundair systeem (zomer);ontwatering_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/rivers/secundary/water_floor_elevation_summer_secundary_system.nc
stage_winter_secundary_system.nc;waterpeil secundair systeem (winter);oppervlaktewater_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/rivers/secundary/stage_winter_secundary_system.nc
stage_summer_secundary_system.nc;waterpeil secundair systeem (zomer);oppervlaktewater_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/rivers/secundary/stage_summer_secundary_system.nc
factor_of_infiltration_secundary_system.nc;infiltratiefactor secundair systeem;ontwatering_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/rivers/secundary/factor_of_infiltration_secundary_system.nc
conductance_secundary_system.nc;doorlatendheid secundair systeem;ontwatering_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/rivers/secundary/conductance_secundary_system.nc
water_floor_elevation_winter_primary_system.nc;waterbodemhoogte primair systeem (winter);ontwatering_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/rivers/primary/water_floor_elevation_winter_primary_system.nc
water_floor_elevation_summer_primary_system.nc;waterbodemhoogte primair systeem (zomer);ontwatering_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/rivers/primary/water_floor_elevation_summer_primary_system.nc
stage_winter_primary_system.nc;waterpeil primair systeem (winter);oppervlaktewater_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/rivers/primary/stage_winter_primary_system.nc
stage_summer_primary_system.nc;waterpeil primair systeem (zomer);oppervlaktewater_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/rivers/primary/stage_summer_primary_system.nc
factor_of_infiltration_primary_system.nc;infiltratiefactor waterbodem primair systeem;ontwatering_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/rivers/primary/factor_of_infiltration_primary_system.nc
conductance_primary_system.nc;doorlatendheid waterbodem primair systeem;ontwatering_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/rivers/primary/conductance_primary_system.nc
water_floor_elevation_winter_main_system_level_2.nc;waterbodemhoogte hoofdsysteem niveau 2 (winter);ontwatering_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/rivers/main/water_floor_elevation_winter_main_system_level_2.nc
water_floor_elevation_winter_main_system_level_1.nc;waterbodemhoogte hoofdsysteem niveau 1 (winter);ontwatering_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/rivers/main/water_floor_elevation_winter_main_system_level_1.nc
