# this file can be loaded into matlab with csv2struct
fileName;Date
KB111_5150_19720101.ASC;19720101
KB111_5150_19730101.asc;19730101
KB111_5150_19750101.asc;19750101
KB111_5150_19760101.ASC;19760101
KB111_5150_19770101.asc;19770101
KB111_5150_19790101.asc;19790101
KB111_5150_19800101.ASC;19800101
KB111_5150_19810101.asc;19810101
KB111_5150_19830101.asc;19830101
KB111_5150_19840101.ASC;19840101
KB111_5150_19850101.asc;19850101
KB111_5150_19870101.asc;19870101
KB111_5150_19890101.ASC;19890101
KB111_5150_19900101.asc;19900101
KB111_5150_19920101.ASC;19920101
KB111_5150_19930101.asc;19930101
KB111_5150_19950101.asc;19950101
KB111_5150_19970101.asc;19970101
KB111_5150_19980101.ASC;19980101
KB111_5150_19990101.asc;19990101
KB111_5150_20010101.asc;20010101
KB111_5150_20020731.asc;20020731
KB111_5150_20030101.asc;20030101
KB111_5150_20030708.asc;20030708
KB112_4342_19640101.asc;19640101
KB112_4342_19670101.asc;19670101
KB112_4342_19680101.asc;19680101
KB112_4342_19700101.asc;19700101
KB112_4342_19720101.asc;19720101
KB112_4342_19740101.asc;19740101
KB112_4342_19760101.asc;19760101
KB112_4342_19780101.asc;19780101
KB112_4342_19800101.asc;19800101
KB112_4342_19820101.asc;19820101
KB112_4342_19840101.asc;19840101
KB112_4342_19850101.asc;19850101
KB112_4342_19860101.asc;19860101
KB112_4342_19870101.asc;19870101
KB112_4342_19880101.asc;19880101
KB112_4342_19890101.ASC;19890101
KB112_4342_19910101.asc;19910101
KB112_4342_19920101.ASC;19920101
KB112_4342_19940101.asc;19940101
KB112_4342_19950101.asc;19950101
KB112_4342_19960101.asc;19960101
KB112_4342_19970101.asc;19970101
KB112_4342_19980101.ASC;19980101
KB112_4342_20000101.asc;20000101
KB112_4342_20010101.asc;20010101
KB112_4342_20020101.asc;20020101
KB112_4342_20040101.asc;20040101
KB112_4342_20040603.asc;20040603
KB112_4342_20040607.asc;20040607
KB112_4342_20070622.asc;20070622
KB112_4544_19600101.asc;19600101
KB112_4544_19640101.ASC;19640101
KB112_4544_19650101.asc;19650101
KB112_4544_19670101.asc;19670101
KB112_4544_19680101.ASC;19680101
KB112_4544_19700101.asc;19700101
KB112_4544_19720101.ASC;19720101
KB112_4544_19740101.asc;19740101
KB112_4544_19760101.ASC;19760101
KB112_4544_19780101.asc;19780101
KB112_4544_19800101.ASC;19800101
KB112_4544_19820101.asc;19820101
KB112_4544_19830101.asc;19830101
KB112_4544_19840101.ASC;19840101
KB112_4544_19850101.asc;19850101
KB112_4544_19860101.asc;19860101
KB112_4544_19870101.asc;19870101
KB112_4544_19880101.asc;19880101
KB112_4544_19890101.ASC;19890101
KB112_4544_19900101.asc;19900101
KB112_4544_19910101.asc;19910101
KB112_4544_19920101.ASC;19920101
KB112_4544_19930101.asc;19930101
KB112_4544_19940101.asc;19940101
KB112_4544_19950101.asc;19950101
KB112_4544_19960101.asc;19960101
KB112_4544_19970101.asc;19970101
KB112_4544_19980101.ASC;19980101
KB112_4544_20000101.asc;20000101
KB112_4544_20000606.asc;20000606
KB112_4544_20010101.asc;20010101
KB112_4544_20020101.asc;20020101
KB112_4544_20040101.asc;20040101
KB112_4544_20040317.asc;20040317
KB112_4544_20050101.asc;20050101
KB112_4544_20060109.asc;20060109
KB112_4746_19600101.asc;19600101
KB112_4746_19640101.ASC;19640101
KB112_4746_19650101.asc;19650101
KB112_4746_19660101.asc;19660101
KB112_4746_19670101.asc;19670101
KB112_4746_19680101.ASC;19680101
KB112_4746_19690101.asc;19690101
KB112_4746_19700101.asc;19700101
KB112_4746_19710101.asc;19710101
KB112_4746_19720101.ASC;19720101
KB112_4746_19730101.asc;19730101
KB112_4746_19740101.asc;19740101
KB112_4746_19750101.asc;19750101
KB112_4746_19760101.ASC;19760101
KB112_4746_19770101.asc;19770101
KB112_4746_19780101.asc;19780101
KB112_4746_19790101.asc;19790101
KB112_4746_19800101.ASC;19800101
KB112_4746_19810101.asc;19810101
KB112_4746_19820101.asc;19820101
KB112_4746_19830101.asc;19830101
KB112_4746_19840101.ASC;19840101
KB112_4746_19850101.asc;19850101
KB112_4746_19860101.asc;19860101
KB112_4746_19870101.asc;19870101
KB112_4746_19880101.asc;19880101
KB112_4746_19890101.ASC;19890101
KB112_4746_19900101.asc;19900101
KB112_4746_19910101.asc;19910101
KB112_4746_19920101.ASC;19920101
KB112_4746_19930101.asc;19930101
KB112_4746_19940101.asc;19940101
KB112_4746_19950101.asc;19950101
KB112_4746_19960101.asc;19960101
KB112_4746_19970101.asc;19970101
KB112_4746_19980101.ASC;19980101
KB112_4746_19990101.asc;19990101
KB112_4746_20000101.asc;20000101
KB112_4746_20000606.asc;20000606
KB112_4746_20010101.asc;20010101
KB112_4746_20020101.asc;20020101
KB112_4746_20030101.asc;20030101
KB112_4746_20040101.asc;20040101
KB112_4746_20040317.asc;20040317
KB112_4746_20050101.asc;20050101
KB112_4746_20050907.asc;20050907
KB112_4948_19600101.asc;19600101
KB112_4948_19640101.ASC;19640101
KB112_4948_19660101.asc;19660101
KB112_4948_19670101.asc;19670101
KB112_4948_19680101.ASC;19680101
KB112_4948_19690101.asc;19690101
KB112_4948_19700101.asc;19700101
KB112_4948_19710101.asc;19710101
KB112_4948_19720101.ASC;19720101
KB112_4948_19730101.asc;19730101
KB112_4948_19740101.asc;19740101
KB112_4948_19750101.asc;19750101
KB112_4948_19760101.ASC;19760101
KB112_4948_19770101.asc;19770101
KB112_4948_19780101.asc;19780101
KB112_4948_19790101.asc;19790101
KB112_4948_19800101.ASC;19800101
KB112_4948_19810101.asc;19810101
KB112_4948_19820101.asc;19820101
KB112_4948_19830101.asc;19830101
KB112_4948_19840101.ASC;19840101
KB112_4948_19850101.asc;19850101
KB112_4948_19860101.asc;19860101
KB112_4948_19870101.asc;19870101
KB112_4948_19880101.asc;19880101
KB112_4948_19890101.ASC;19890101
KB112_4948_19900101.asc;19900101
KB112_4948_19920101.ASC;19920101
KB112_4948_19930101.asc;19930101
KB112_4948_19940101.asc;19940101
KB112_4948_19950101.asc;19950101
KB112_4948_19960101.asc;19960101
KB112_4948_19970101.asc;19970101
KB112_4948_19980101.ASC;19980101
KB112_4948_19990101.asc;19990101
KB112_4948_20000101.asc;20000101
KB112_4948_20010101.asc;20010101
KB112_4948_20020101.asc;20020101
KB112_4948_20030101.asc;20030101
KB112_4948_20040101.asc;20040101
KB112_4948_20050101.asc;20050101
KB112_4948_20050907.asc;20050907
KB112_5150_19660101.asc;19660101
KB112_5150_19690101.asc;19690101
KB112_5150_19710101.asc;19710101
KB112_5150_19730101.asc;19730101
KB112_5150_19750101.asc;19750101
KB112_5150_19770101.asc;19770101
KB112_5150_19790101.asc;19790101
