"substance","location","season","value.x","value.y"
"140","TotN","Groote Gat noord","summer",4.93,5.24533033370972
"141","TotN","Huibertgat oost","summer",1.03,1.02552247047424
"142","TotP","Bocht van Watum","summer",0.171,0.23041445016861
"143","TotP","Groote Gat noord","summer",0.21,0.315765053033829
"144","TotP","Huibertgat oost","summer",0.0465,0.0601219981908798
"145","Chlfa","Bocht van Watum","winter",2.2,2.97074055671692
"146","Chlfa","Bocht van Watum","winter",2.2,2.97074055671692
"147","Chlfa","Groote Gat noord","winter",2.8,9.32697772979736
"148","Chlfa","Groote Gat noord","winter",2.8,9.32697772979736
"149","Chlfa","Huibertgat oost","winter",2.3,1.61128091812134
"150","Chlfa","Huibertgat oost","winter",2.3,1.61128091812134
"151","NH4","Bocht van Watum","winter",0.134,0.107996664941311
"152","NH4","Groote Gat noord","winter",0.124,0.201001048088074
"153","NH4","Huibertgat oost","winter",0.171,0.02163384296
"154","NO3","Bocht van Watum","winter",0.807,0.864425718784332
"155","NO3","Groote Gat noord","winter",1.33,1.18652045726776
"156","NO3","Huibertgat oost","winter",0.101,0.0890987887978554
"157","OXY","Bocht van Watum","winter",9.48,9.40354061126709
"158","OXY","Groote Gat noord","winter",9.94,9.50955295562744
"159","OXY","Huibertgat oost","winter",9.37,9.27102947235107
"160","PO4","Bocht van Watum","winter",0.0693,0.0778988301753998
"161","PO4","Groote Gat noord","winter",0.0823,0.0680436119437218
"162","PO4","Huibertgat oost","winter",0.0213,0.0275664906948805
"163","Salinity","Bocht van Watum","winter",23.8,24.6942844390869
"164","Salinity","Groote Gat noord","winter",17.2,20.7149925231934
"165","Salinity","Huibertgat oost","winter",30.2,31.610990524292
"166","SecchiDept","Bocht van Watum","winter",0.2,0.488714843988419
"167","SecchiDept","Groote Gat noord","winter",0.2,0.274733513593674
"168","SecchiDept","Huibertgat oost","winter",1,0.508526623249054
"169","Si","Bocht van Watum","winter",1.98,0.913253724575043
"170","Si","Groote Gat noord","winter",3,1.13122045993805
"171","Si","Huibertgat oost","winter",0.395,0.290154248476028
"172","SS","Bocht van Watum","winter",59.8,47.0237121582031
"173","SS","Groote Gat noord","winter",122,102.761360168457
"174","SS","Huibertgat oost","winter",16.1,61.3558044433594
"175","TotP","Bocht van Watum","winter",0.16,0.174985364079475
"176","TotP","Groote Gat noord","winter",0.283,0.237565144896507
"177","TotP","Huibertgat oost","winter",0.0501,0.0746078416705132
"178","Chlfa","Bocht van Watum","winter",4.7,0.848707377910614
"179","Chlfa","Bocht van Watum","winter",4.7,0.848707377910614
"180","Chlfa","Groote Gat noord","winter",1.3,1.0999573469162
"181","Chlfa","Groote Gat noord","winter",1.3,1.0999573469162
"182","Chlfa","Huibertgat oost","winter",2.2,0.067345604300499
"183","Chlfa","Huibertgat oost","winter",2.2,0.067345604300499
"184","NH4","Bocht van Watum","winter",0.184,0.118208490312099
"185","NH4","Groote Gat noord","winter",0.297,0.250440984964371
"186","NH4","Huibertgat oost","winter",0.168,0.0346657410264015
"187","NO3","Bocht van Watum","winter",0.784,0.9095818400383
"188","NO3","Groote Gat noord","winter",1.53,1.42434418201447
"189","NO3","Huibertgat oost","winter",0.169,0.207231566309929
"190","PO4","Bocht van Watum","winter",0.0557,0.0650535523891449
"191","PO4","Groote Gat noord","winter",0.0649,0.0715646669268608
"192","PO4","Huibertgat oost","winter",0.0254,0.0332664214074612
"193","SecchiDept","Bocht van Watum","winter",0.1,0.347614318132401
"194","SecchiDept","Groote Gat noord","winter",0.1,0.222631976008415
"195","SecchiDept","Huibertgat oost","winter",0.3,0.470574885606766
"196","Si","Bocht van Watum","winter",1.92,1.07974874973297
"197","Si","Groote Gat noord","winter",3.68,1.61542189121246
"198","Si","Huibertgat oost","winter",0.572,0.315771669149399
"199","SS","Bocht van Watum","winter",140,85.6045303344727
"200","SS","Groote Gat noord","winter",382,141.023788452148
"201","SS","Huibertgat oost","winter",35.9,68.1844940185547
"202","TotN","Groote Gat noord","winter",3.96,2.55270719528198
"203","TotN","Huibertgat oost","winter",0.958,0.511839389801025
"204","TotP","Groote Gat noord","winter",0.455,0.281611710786819
"205","TotP","Huibertgat oost","winter",0.0568,0.0916756391525269
