id                                         , Unit,rws                                        ,normal
OM_100261_C_LMW-Cl_Spijkenisserbrug        ,     ,OM_1002.61_C_LMW-Cl_Spijkenisserbrug       ,Spijkenisse
OM_99253_L_LMW-Cl_Goidschalxoord-g6        ,     ,OM_992.53_L_LMW-Cl_Goidschalxoord-g6       ,Goidschalxoord
OM_97625_L_LMW-Cl_Dordrecht-g6             ,     ,OM_976.25_L_LMW-Cl_Dordrecht-g6            ,Dordrecht
SG_090_L_LMW-Cl_Werkendam-buiten-g6        ,     ,SG_0.90_L_LMW-Cl_Werkendam-buiten-g6       ,Werkendam buiten
WL_9518_R_LMW-Cl_Vuren                     ,     ,WL_951.8_R_LMW-Cl_Vuren                    ,Vuren
WL_9348_L_LMW-Cl_Zaltbommel                ,     ,WL_934.8_L_LMW-Cl_Zaltbommel               ,Zaltbommel
WL_9133_R_LMW-Cl_Tiel-Waal                 ,     ,WL_913.3_R_LMW-Cl_Tiel-Waal                ,Tiel Waal
HV_102431_R_Hellevoetsluis-g6              ,     ,HV_1024.31_R_Hellevoetsluis-g6             ,Hellevoetsluis
HD_99815_L_LMW-Cl_Rak-noord                ,     ,HD_998.15_L_LMW-Cl_Rak-noord               ,Rak noord
HD_98455_L_LMW-Cl_Moerdijk-g6              ,     ,HD_984.55_L_LMW-Cl_Moerdijk-g6             ,Moerdijk
MA_24760_R_LMW-Cl_Keizersveer              ,     ,MA_247.60_R_LMW-Cl_Keizersveer             ,Keizersveer
MA_23061_L_LMW-Cl_Heesbeen                 ,     ,MA_230.61_L_LMW-Cl_Heesbeen                ,Heesbeen
MA_20237_L_LMW-Cl_Lith-dorp                ,     ,MA_202.37_L_LMW-Cl_Lith-dorp               ,Lith-dorp
LE_98879_L_LMW-Cl_Kinderdijk-ad-Lek        ,     ,LE_988.79_L_LMW-Cl_Kinderdijk-ad-Lek       ,Kinderdijk-ad-Lek
NM_100526_R_LMW-Cl_Lekhaven-g6             ,     ,NM_1005.26_R_LMW-Cl_Lekhaven-g6            ,Lekhaven
NM_99521_R_LMW-Cl_Brienenoordbrug          ,     ,NM_995.21_R_LMW-Cl_Brienenoordbrug         ,Brienenoordbrug
OM_99615_L_LMW-Cl_Beerenplaat-g6           ,     ,OM_996.15_L_LMW-Cl_Beerenplaat-g6          ,Beerenplaat
SP_100713_R_LMW-Cl_Bernisse-Zuidland-g6    ,     ,SP_1007.13_R_LMW-Cl_Bernisse-Zuidland-g6   ,Bernisse-Zuidland
SP_101157_L_LMW-Cl_Beningen                ,     ,SP_1011.57_L_LMW-Cl_Beningen               ,Beningen
CK_102839_R_HBR-H_Scheurhaven              ,     ,CK_102.839_R_HBR-H_Scheurhaven             ,Scheurhaven
