Code,Omschrijving,Groep,Titel
N5756.95,NEN 5756:1995 nl,Norm bodem-chemisch,"Bodem - Bepaling van organisch en totaal koolstofgehalte in grond na droge verassing (""""elementair analyse"""")"
N5757.91,NEN 5757:1991 nl,Norm vervallen,Bodem - Bepaling van het gehalte aan carbonaten in grond - Volumetrische methode
N5758.90,NEN 5758:1990 nl,Norm vervallen,Bodem - Bepaling van het gehalte aan koper in grond met behulp van atomaire-absorptiespectrometrie (vlamtechniek) na ontsluiting met salpeterzuur en zoutzuur
N5759.90,NEN 5759:1990 nl,Norm vervallen,Bodem - Bepaling van het gehalte aan zink in grond met behulp van atomaire-absorptiespectrometrie (vlamtechniek) na ontsluiting met salpeterzuur en zoutzuur
N5760.91,NEN 5760:1991 nl,Norm bodem-chemisch,Bodem - Bepaling van het gehalte aan arseen in grond met behulp van atomaire-absorptiespectrometrie (hydridegeneratietechniek) na ontsluiting met salpeterzuur en zoutzuur
N5761.90,NEN 5761:1990 nl,Norm vervallen,Bodem - Bepaling van het gehalte aan lood in grond met behulp van atomaire-absorptiespectrometrie (vlamtechniek) na ontsluiting met salpeterzuur en zoutzuur
N5762.91,NEN 5762:1991 nl,Norm vervallen,Bodem - Bepaling van het gehalte aan cadmium in grond met behulp van atomaire-absorptiespectrometrie (vlamtechniek) na ontsluiting met salpeterzuur en zoutzuur
N5763.91,NEN 5763:1991 nl,Norm vervallen,Bodem - Bepaling van het gehalte aan chroom in grond met behulp van atomaire-absorptiespectrometrie (vlamtechniek) na ontsluiting met salpeterzuur en zwavelzuur
N5764.89,NEN 5764:1989 nl,Norm vervallen,Bodem - Bepaling van het gehalte aan kwik in grond met behulp van atomaire-absorptiespectrometrie na ontsluiting met salpeterzuur in een PTFE-destructievat bij 140 °C onder druk
N5765.91,NEN 5765:1991 nl,Norm vervallen,Bodem - Bepaling van het gehalte aan nikkel in grond met behulp van atomaire-absorptiespectrometrie (vlamtechniek) na ontsluiting met salpeterzuur en zoutzuur
N5766.03,NEN 5766:2003 nl,Norm bodem-fysisch,Bodem - Plaatsing van peilbuizen ten behoeve van milieukundig bodemonderzoek
N5767.91,NEN 5767:1991 nl,Norm vervallen,Bodem - Bepaling van het gehalte aan chroom in grond met behulp van atomaire-absorptiespectrometrie (vlamtechniek) na ontsluiting met salpeterzuur en zoutzuur
N5768.92,NEN 5768:1992 nl,Norm bodem-chemisch,Bodem - Monstervoorbehandeling van grond voor de bepaling van elementen met atomaire spectrometrie - Ontsluiting met salpeterzuur en zwavelzuur
N5769.91,NEN 5769:1991 nl,Norm vervallen,"Bodem - Bepaling van het gehalte aan nitraat en ammonium in grond na extractie met een calciumchloride-oplossing (0,01 mol/l)"
N5771.99,NEN 5771:1999 nl,Norm bodem-chemisch,Bodem - Waterbodem - Bepaling van de gehalten aan polycyclische aromatische koolwaterstoffen met hogedrukvloeistofchromatografie
N5773.90,NEN 5773:1990 nl,Norm bodem-fysisch,Bodem - Bepaling van de soortelijke weerstand met behulp van geo-elektrische metingen
N5774.90,NEN 5774:1990 nl,Norm bodem-fysisch,Bodem - Bepaling van de soortelijke weerstand met behulp van elektromagnetische weerstandsmetingen
N5776.06,NEN 5776:2006 nl,Norm bodem-chemisch,"Bodem - Bepaling van ijzer, aluminium en fosfor in een ammoniumoxalaat-oxaalzuurextract voor het vaststellen van de fosfaatverzadiging"
N5777.94,NEN 5777:1994 nl,Norm vervallen,Bodem - Bepaling van het halogeengehalte afkomstig van niet-vluchtige met petroleumether en aceton extraheerbare organohalogeenverbindingen (EOX) in waterbodem met behulp van coulometrie
N5779.94,NEN 5779:1994 nl,Norm vervallen,Bodem - Bepaling van het gehalte aan kwik in grond met atomaire-absorptiespectrometrie (koude damptechniek) na ontsluiting met salpeterzuur en zoutzuur
N5780.96,NEN 5780:1996 nl,Norm bodem-chemisch,Bodem - Bepaling van de potentiële kationen-uitwisselingscapaciteit en uitwisselbare basische kationen in grond
N5781.92,NEN 5781:1992 nl,Norm bodem-fysisch,Bodem - Onverzadigde zone - Gravimetrische bepaling van het watergehalte en de droge volumieke massa van grond
N5782.91,NEN 5782:1991 nl,Norm bodem-fysisch,Bodem - Onverzadigde zone - Bepaling van het watergehalte met een neutronendieptesonde
N5783.91,NEN 5783:1991 nl,Norm bodem-fysisch,Bodem - Onverzadigde zone - Bepaling van de drukhoogte met behulp van een tensiometer
N5784.91,NEN 5784:1991 nl,Norm bodem-fysisch,Bodem - Onverzadigde zone - Bepaling van het watergehalte met een gammadieptesonde
N5785.91,NEN 5785:1991 nl,Norm bodem-fysisch,Bodem - Onverzadigde zone - In-situbepaling van de waterretentiekarakteristiek
N5786.91,NEN 5786:1991 nl,Norm bodem-fysisch,Bodem - Onverzadigde zone - Bepaling van de waterretentiekarakteristiek - Onderdrukmethode tot <(cursief)h>= -200 cm - Bepaling met een poreuze plaat in combinatie met een buret
N5787.94,NEN 5787:1994 nl,Norm bodem-fysisch,Bodem - Onverzadigde zone - Bepaling van de waterretentiekarakteristiek tot <(cursief)h> = -500 cm - Onderdrukmethode - Gravimetrische laboratoriumbepaling
N5788.94,NEN 5788:1994 nl,Norm bodem-fysisch,Bodem - Onverzadigde zone - Bepaling van de waterretentiekarakteristiek van <(cursief)h> = -500 tot <(cursief)h> = -20000 cm - Overdrukmethode - Gravimetrische laboratoriumbepaling met een pers
N5789.91,NEN 5789:1991 nl,Norm bodem-fysisch,Bodem - Onverzadigde zone - Bepaling van de verzadigde waterdoorlatendheid
N5791.95,NEN 5791:1995 nl,Norm bodem-fysisch,Bodem - Onverzadigde zone - Bepaling van de onverzadigde waterdoorlatendheidskarakteristiek en de waterretentiekarakteristiek met de verdampingsmethode volgens Wind
N6261.90,NEN 6261:1990/A1:2002,Norm water-biologisch,Bacteriologisch onderzoek van water - Onderzoek met behulp van membraanfiltratie naar de aanwezigheid en het aantal kolonievormende eenheden (KVE) van <(cursief)Escherichia coli>
N6263.89,NEN 6263:1989 nl,Norm water-biologisch,Bacteriologisch onderzoek van water - Onderzoek met behulp van membraanfiltratie naar de aanwezigheid en het aantal kolonievormende eenheden (KVE) van <(cursief)Aeromonas>-bacteriën
N6265.07,NEN 6265:2007 nl,Norm water-biologisch,Water - Detectie en telling van <(cursief)Legionella>
N6269.96,NEN 6269:1996 nl,Norm water-biologisch,Bacteriologisch onderzoek van water - Onderzoek naar de aanwezigheid en/of het meest waarschijnlijke aantal van thermofiele <(cursief)Campylobacter>-bacteriën
N6271.95,NEN 6271:1995 nl,Norm water-biologisch,Bacteriologisch onderzoek van water - Bepaling van het gehalte gemakkelijk Assimileerbaar Organisch Koolstof (AOC)
N6274.95,NEN 6274:1995 nl,Norm vervallen,Bacteriologisch onderzoek van water - Kwantificeren van faecale streptococcen door membraanfiltratie
N6275.96,NEN 6275:1996 nl,Norm water-biologisch,Bacteriologisch onderzoek van water - pH-meting van bacteriologische media
N6276.95,NEN 6276:1995 nl,Norm water-biologisch,Bacteriologisch onderzoek van water - Bepaling van het koloniegetal op R<(inf)2>A-agar bij 25°C
N6401.91,NEN 6401:1991 nl,Norm water-chemisch,Water - Bepaling van het halogeengehalte van vluchtige organohalogeenverbindingen (VOX)
N6402.91,NEN 6402:1991 nl,Norm water-chemisch,"Water - Bepaling van het halogeengehalte afkomstig van niet-vluchtige, met petroleumether extraheerbare organohalogeenverbindingen (EOX)"
N6403.98,NEN 6403:1998 nl,Norm water-chemisch,Waterkwaliteit - Bepaling van N-methylcarbamaten in water met hogedruk-vloeistofchromatografie
N6407.97,NEN 6407:1997 nl,Norm vervallen,"Water - Gaschromatografische bepaling van het gehalte van een aantal monocyclische aromaten en naftaleen en enkele gechloreerde koolwaterstoffen met de """"purge en trap"""" methode en thermische desorptie"
N6411.06,NEN 6411:2006 Ontw. nl,Norm vervallen,"Water en slib - Bepaling van de zuurgraad (pH), Verv. door  NEN-ISO 10523:2008 en"
N6411.81,NEN 6411:1981 nl,Norm vervallen,"Water - Bepaling van de pH, Verv. door  NEN 6411:2006 Ontw. nl, in de toekomst * NEN-ISO 10523:2008 en"
N6412.79,NEN 6412:1979 nl,Norm vervallen,Drinkwater - Bepaling van de soortelijke geleiding
N6414.07,NEN 6414:2007 Ontw. nl,Norm water-chemisch,Water en slib - Bepaling van de temperatuur
N6414.08,NEN 6414:2008 nl,Norm water-chemisch,Water en slib - Bepaling van de temperatuur
N6414.88,NEN 6414:1988 nl,Norm vervallen,"Water en slib - Bepaling van de temperatuur, Verv. door  NEN 6414:2007 Ontw. nl, in de toekomst * NEN 6414:2008 nl"
N6420.86,NEN 6420:1986 nl,Norm radioactiviteit,Water - Bepaling van het gehalte aan getritieerd water door vloeistofscintillatietelling
N6421.06,NEN 6421:2006 nl,Norm radioactiviteit,Water - Bepaling van de volumieke totale bèta-activiteit en volumieke rest-bèta-activiteit van niet-vluchtige bestanddelen
N6424.88,NEN 6424:1988 nl,Norm vervallen,Water - Bepaling van het gehalte aan kalium met behulp van atomaire-absorptiespectrometrie (vlamtechniek)
N6426.95,NEN 6426:1995 nl,Norm vervallen,Water - Bepaling van 40 elementen met behulp van atomaire-emissiespectrometrie met inductief gekoppeld plasma
N6427.99,NEN 6427:1999 nl,Norm vervallen,Water - Bepaling van 66 elementen met inductief gekoppeld plasma massaspectrometrie
N6429.94,NEN 6429:1994 nl,Norm vervallen,Water en slibhoudend water - Bepaling van het gehalte aan lood met behulp van atomaire-absorptiespectrometrie (grafietoventechniek)
N6430.94,NEN 6430:1994 nl,Norm vervallen,Water en slibhoudend water - Bepaling van het gehalte aan nikkel met behulp van atomaire-absorptiespectrometrie (grafietoventechniek)
N6432.93,NEN 6432:1993 nl,Norm water-chemisch,Water - Bepaling van het gehalte aan arseen met behulp van atomaire-absorptiespectrometrie (hydridegeneratietechniek) - Ontsluiting met salpeterzuur en zoutzuur
N6433.93,NEN 6433:1993 nl,Norm water-chemisch,Water - Bepaling van het gehalte aan antimoon met behulp van atomaire-absorptiespectrometrie (hydride-generatietechniek) - Ontsluiting met salpeterzuur en zoutzuur
N6434.93,NEN 6434:1993 nl,Norm water-chemisch,Water - Bepaling van het gehalte aan seleen met behulp van atomaire-absorptiespectrometrie (hydride-generatietechniek) - Ontsluiting met salpeterzuur en zoutzuur
N6436.97,NEN 6436:1997 nl,Norm vervallen,Water - Bepaling van het gehalte aan barium met behulp van atomaire-absorptiespectrometrie (grafietoventechniek)
N6437.82,NEN 6437:1982 nl,Norm vervallen,Water - Bepaling van het gehalte aan aluminium met behulp van atomaire-absorptiespectrometrie (vlamtechniek)
N6442.79,NEN 6442:1979 nl,Norm water-chemisch,Water - Vlamfotometrische bepaling van het gehalte aan natrium en kalium
N6444.77,NEN 6444:1977 nl,Norm vervallen,Water - Bepaling van het gehalte aan chroom met behulp van atomaire-absorptiespectrofotometrie (grafietoventechniek)
N6445.97,NEN 6445:1997 nl,Norm water-chemisch,Water en slibhoudend water - Bepaling van het kwikgehalte met atomaire-absorptiespectrometrie (koudedamptechniek) - Ontsluiting met broom
N6448.81,NEN 6448:1981 nl,Norm vervallen,Water - Bepaling van het gehalte aan chroom met behulp van atomaire-absorptiespectrometrie (vlamtechniek)
N6449.81,NEN 6449:1981 nl,Norm vervallen,Water - Bepaling van het totale gehalte aan kwik met behulp van atomaire-absorptiespectrometrie - Ontsluiting met permanganaat en persulfaat
N6451.80,NEN 6451:1980 nl,Norm vervallen,Water - Bepaling van het gehalte aan koper met behulp van atomaire-absorptiespectrometrie (vlamtechniek)
N6452.80,NEN 6452:1980 nl,Norm vervallen,Water - Bepaling van het gehalte aan cadmium met behulp van atomaire-absorptiespectrometrie (vlamtechniek)
N6453.80,NEN 6453:1980 nl,Norm vervallen,Water - Bepaling van het gehalte aan lood met behulp van atomaire-absorptiespectrometrie (vlamtechniek)
N6454.94,NEN 6454:1994 nl,Norm vervallen,Water en slibhoudend water - Bepaling van het gehalte aan koper met behulp van atomaire-absorptiespectrometrie (grafietoventechniek)
N6455.81,NEN 6455:1981 nl,Norm vervallen,Water - Bepaling van het gehalte aan magnesium met behulp van atomaire-absorptiespectrometrie (vlamtechniek)
N6456.81,NEN 6456:1981 nl,Norm vervallen,Water - Bepaling van het gehalte aan nikkel met behulp van atomaire-absorptiespectrometrie (vlamtechniek)
N6457.94,NEN 6457:1994 nl,Norm vervallen,Water en slibhoudend water - Bepaling van het gehalte aan arseen met behulp van atomaire-absorptiespectrometrie (grafietoventechniek)
N6458.83,NEN 6458:1983 nl,Norm vervallen,Water - Bepaling van het gehalte aan cadmium met behulp van atomaire-absorptiespectrometrie (grafietoventechniek)
N6460.81,NEN 6460:1981 nl,Norm vervallen,Water - Bepaling van het gehalte aan ijzer met behulp van atomaire-absorptiespectrometrie (vlamtechniek)
N6461.81,NEN 6443:1981 nl,Norm vervallen,Water - Bepaling van het gehalte aan mangaan met behulp van atomaire-absorptiespectrometrie (vlamtechniek)
N6464.81,NEN 6464:1981 nl,Norm slib,Water - Monstervoorbehandeling van slib of slibhoudend water voor de bepaling van elementen van atomaire-absorptiespectrometrie - Ontsluiting met salpeterzuur en zwavelzuur
N6467.82,NEN 6467:1982 nl,Norm water-chemisch,Water - Vlamfotometrische bepaling van het gehalte aan lithium
N6468.94,NEN 6468:1994 nl,Norm vervallen,Water en slibhoudend water - Bepaling van het gehalte aan kobalt met behulp van atomaire-absorptiespectrometrie (grafietoventechniek)
N6470.97,NEN 6470:1997 nl,Norm water-chemisch,Water - Titrimetrische bepaling van het gehalte aan chloride volgens Mohr
N6471.81,NEN 6471:1981 nl,Norm water-chemisch,Water - Fotometrische bepaling van het gehalte aan kiezelzuur
N6472.83,NEN 6472:1983 nl,Norm vervallen,Water - Fotometrische bepaling van het gehalte aan ammonium
N6476.81,NEN 6476:1981 nl,Norm water-chemisch,Water - Bepaling van het gehalte aan chloride door potentiometrische titratie
N6480.82,NEN 6480:1982 nl,Norm vervallen,"Water - Titrimetrische bepaling van de gehalten aan vrij beschikbaar en totaal beschikbaar chloor met ijzer(II)-ammoniumsulfaat en 1-amino-4-diethylaminobenzeen-waterstofsulfaat (N,N-diethyl-p-phenyl eendiamine (DPD)-sulfaat) als indicator"
N6481.83,NEN 6481:1983 nl,Norm vervallen,Water - Bepaling van de som van de gehalten aan ammoniumstikstof en aan organisch gebonden stikstof volgens Kjeldahl na mineralisatie met seleen (met mededeling oktober 1983 en correctieblad april 1984)
N6483.82,NEN 6483:1982 nl,Norm water-chemisch,Water - Potentiometrische bepaling van het totale gehalte aan fluoride
N6484.06,NEN 6484:2006 Ontw. nl,Norm vervallen,"Water - Bepaling van het gehalte aan onopgeloste stoffen en de gloeirest ervan - Methode met behulp van membraanfiltratie, Verv. door  NEN 6484:2007 nl"
N6484.07,NEN 6484:2007 nl,Norm water-fysisch,Water - Bepaling van het gehalte aan onopgeloste stoffen en de gloeirest ervan - Methode met behulp van membraanfiltratie
N6484.82,NEN 6484:1982 nl,Norm vervallen,"Water - Bepaling van het gehalte aan onopgeloste bestanddelen en de gloeirest ervan, Verv. door  NEN 6484:2007 nl * NEN 6484:2006 Ontw. nl, in de toekomst"
N6486.84,NEN 6486:1984 nl,Norm water-chemisch,Water - Titrimetrische bepaling van het gehalte aan koolstofdioxide
N6487.97,NEN 6487:1997 nl,Norm water-chemisch,Water - Titrimetrische bepaling van het sulfaatgehalte
N6490.82,NEN 6490:1982 nl,Norm vervallen,Water - Jodometrische bepaling van het zuurstofgehalte volgens Winkler
N6493.87,NEN 6493:1987 nl,Norm water-chemisch,Water - Fotometrische bepaling van het gehalte aan cyanuurzuur
N6494.84,NEN 6494:1984 nl,Norm water-chemisch,Water - Enzymatische bepaling van het gehalte aan ureum in zwemwater
N6495.84,NEN 6495:1984 nl,Norm water-chemisch,Water - Fotometrische bepaling van het gehalte aan ozon
N6499.05,NEN 6499:2005 nl,Norm vervallen,Milieu - Koepelnorm voor de bepaling van het gehalte aan onopgeloste stoffen en droge stof en de gloeiresten daarvan
N6499.10,NEN 6499:2010 nl,Norm bodem/water-chemisch,Milieu  Koepelnorm voor de bepaling van het gehalte aan opgeloste en onopgeloste stoffen en droge stof en de gloeiresten daarvan.
N6504.80,NEN 6504:1980 nl,Norm water-biologisch,Water - Bepaling van de acute toxiciteit met behulp van Poecilia reticulata
N6520.06,NEN 6520:2006 nl,Norm water-biologisch/chem.,Water - Spectrofotometrische bepaling van het gehalte aan chlorofyl-a
N6521.91,NEN 6521:1991 nl,Norm water-chemisch,Water - Fotometrische bepaling van het gehalte aan boor
N6523.90,NEN 6523:1990 nl,Norm water-chemisch,"Water - Een methode voor de berekening van het gehalte aan waterstofcarbonaat, koolstofdioxide en carbonaat uit het gehalte aan totaal koolstofdioxide en de pH"
N6524.84,NEN 6524:1984 nl,Norm vervallen,Water - Bepaling van het gehalte aan zes polycyclische aromatische koolwaterstoffen (PAK) met behulp van hogedruk-vloeistofchromatografie
N6526.06,NEN 6526:2006 nl,Norm water-chemisch,Water - Bepaling van de cholinesteraseremmende activiteit
N6527.00,NEN 6527:2000 nl,Norm vervallen,Water - Bepaling van het gehalte aan tien polycyclische aromatische koolwaterstoffen (PAK) met hogedruk-vloeistofchromatografie
N6530.86,NEN 6530:1986 nl,Norm water-fysisch,Water - De ionenbalans
N6531.86,NEN 6531:1986 nl,Norm water-chemisch,"Water - Titrimetrische bepaling van het gehalte aan waterstofcarbonaat in water met een pH lager dan of gelijk aan 8,35"
N6532.86,NEN 6532:1986 nl,Norm water-chemisch,"Water - Titrimetrische bepaling van het gehalte aan waterstofcarbonaat, carbonaat en hydroxide in water met een pH hoger dan 8,35"
N6533.90,NEN 6533:1990 nl,Norm water-fysisch,Water - Bepaling van de agressiviteit ten opzichte van calciumcarbonaat en berekening van de verzadigingsindex
N6535.86,NEN 6535:1986 nl,Norm water-fysisch,Water - Berekening of schatting van de ionensterkte
N6536.90,NEN 6536:1990 nl,Norm water-fysisch,Water - Berekeningen ten behoeve van de ontzuring van agressief water met chemicaliën en basische filters
N6539.91,NEN 6539:1991 nl,Norm water-fysisch,"Ketelwater - Bepaling van het gehalte aan zwevende bestanddelen, de indamprest en hun gloeiresten"
N6541.91,NEN 6541:1991 nl,Norm water-chemisch,Ketelwater - Fotometrische bepaling van het gehalte aan kiezelzuur
N6542.96,NEN 6542:1996 nl,Norm water-chemisch,Ketelwater - Titrimetrische bepaling van het gehalte aan vrij koolstofdioxide
N6544.90,NEN 6544:1990 nl,Norm water-chemisch,Ketelwater - Gravimetrische bepaling van het gehalte aan sulfaat
N6545.85,NEN 6545:1985 nl,Norm water-chemisch,Ketelwater - Jodometrische bepaling van het gehalte aan sulfiet
N6547.86,NEN 6547:1986 nl,Norm water-chemisch,Ketelwater - Titrimetrische bepaling van het gehalte aan chloride (mercurimetrisch)
N6548.88,NEN 6548:1988 nl,Norm water-chemisch,Ketelwater - Fotometrische bepaling van het gehalte aan hydrazine
N6549.88,NEN 6549:1988 nl,Norm water-fysisch,Ketelwater - Fotometrische bepaling van de totale hardheid
N6552.81,NEN 6552:1981 nl,Norm water-biologisch,Bacteriologisch onderzoek van drinkwater - Onderzoek met behulp van membraanfiltratie naar de aanwezigheid van thermotolerante bacteriën van de coligroep
N6557.81,NEN 6557:1981 nl,Norm water-biologisch,Bacteriologisch onderzoek van drinkwater - Onderzoek met behulp van gistingsproeven naar de aanwezigheid van bacteriën van de coligroep en thermotolerante bacteriën van de coligroep
N6563.82,NEN 6563:1982 nl,Norm vervallen,Bacteriologisch onderzoek van oppervlaktewater - Kwantificeren van faecale streptococcen met behulp van gistingsproeven
N6567.85,NEN 6567:1985 nl,Norm vervallen,Bacteriologisch onderzoek van water - Onderzoek met behulp van membraamfiltratie naar de aanwezigheid van sporen van sulfietreducerende clostrida
N6570.82,NEN 6570:1982 nl,Norm water-biologisch,Bacteriologisch onderzoek van oppervlaktewater - Kwantificeren van thermotolerante bacteriën van de coligroep met behulp van membraanfiltratie
N6571.82,NEN 6571:1982 nl,Norm water-biologisch,Bacteriologisch onderzoek van oppervlaktewater - Kwantificeren van bacteriën van de coligroep met behulp van membraanfiltratie
N6572.82,NEN 6572:1982 nl,Norm water-biologisch,Bacteriologische onderzoek van oppervlaktewater - Kwantificeren van bacteriën van de coligroep en thermotolerante bacteriën van de coligroep met behulp van gistingsproeven
N6573.87,NEN 6573:1987 nl,Norm water-biologisch,Bacteriologisch onderzoek van water - Onderzoek met behulp van membraanfiltratie naar de aanwezigheid en het aantal kolonievormende eenheden (KVE) van <(cursief)Pseudomonas aeruginosa>
N6576.85,NEN 6576:1985 nl,Norm water-chemisch,Regenwater - Fotometrische bepaling van het gehalte aan ammonium
N6577.85,NEN 6577:1985 nl,Norm water-chemisch,Regenwater - Fotometrische bepaling van het gehalte aan orthofosfaat
N6578.85,NEN 6578:1985 nl,Norm water-chemisch,Regenwater - Potentiometrische bepaling van het gehalte aan totaal anorganisch fluoride
N6579.85,NEN 6579:1985 nl,Norm water-chemisch,Regenwater - Potentiometrische bepaling van het gehalte aan hydroniumionen
N6580.85,NEN 6580:1985 nl,Norm water-chemisch,Regenwater - Fotometrische bepaling van het gehalte aan sulfaat
N6581.85,NEN 6581:1985 nl,Norm water-chemisch,Regenwater - UV-fotometrische bepaling van het gehalte aan nitraat
N6582.85,NEN 6582:1985 nl,Norm water-chemisch,Regenwater - Fotometrische bepaling van het gehalte aan chloride
N6587.90,NEN 6587:1990 nl,Norm water-fysisch,Regenwater - Bepaling van het zuur- of baseverbruik
N6589.05,NEN 6589:2005 nl,Norm water-chemisch,Water - Potentiometrische bepaling van het gehalte aan totaal anorganisch fluoride met doorstroomsystemen (FIA en CFA)
N6591.90,NEN 6591:1990 nl,Norm water-fysisch,Regenwater - Bepaling van de soortelijke geleiding in een doorstroomanalysesysteem
N6594.93,NEN 6594:1993 nl,Norm water-fysisch,Regenwater - Bepaling van de pH met behulp van een doorstroom-injectiemethode
N6604.07,NEN 6604:2007 nl,Norm water-chemisch,"Water - Bepaling van het gehalte aan ammonium, nitraat, nitriet, chloride, ortho-fosfaat, sulfaat en silicaat met een discreet analysesysteem en spectrofotometrische detectie"
N6606.07,NEN 6606:2007 Ontw. nl,Norm vervallen,"Water - Bepaling van de doorzichtdiepte met behulp van een schijf volgens Secchi, Verv. door  NEN 6606:2009 nl"
N6606.09,NEN 6606:2009 nl,Norm water-fysisch,Water - Bepaling van de doorzichtdiepte met behulp van een schijf volgens Secchi
N6606.92,NEN 6606:1992 nl,Norm vervallen,"Water - Bepaling van de doorzichtdiepte met behulp van een schijf volgens Secchi, Verv. door  NEN 6606:2007 Ontw. nl, in de toekomst * NEN 6606:2009 nl"
N6608.96,NEN 6608:1996 nl,Norm water-chemisch,Water - Fotometrische bepaling van het sulfidegehalte
N6619.92,NEN 6619:1992 nl,Norm water-chemisch,Ketelwater - Fotometrische bepaling van het gehalte aan opgelost koper
N6620.86,NEN 6620:1986 nl,Norm vervallen,Afvalwater en slib - Bepaling van de indamprest en de gloeirest - Gravimetrische methode
N6621.88,NEN 6621:1988 nl,Norm water-fysisch,Afvalwater en slib - Bepaling van het gehalte aan onopgeloste bestanddelen en de gloeirest daarvan - Gravimetrische methode
N6622.88,NEN 6622:1988 nl,Norm slib,Slib - bepaling van de zandrest en de zeefrest - Gravimetrische methode
N6623.05,NEN 6623:2005 nl,Norm water-fysisch,Water - Bepaling van de hoeveelheid bezinksel
N6624.03,NEN 6624:2003 nl,Norm slib,Slib - bepaling van de slibvolume-index (s.v.i.)
N6633.06,NEN 6633:2006/A1:2007 nl,Norm water-fysisch,Water en (zuiverings)slib - Bepaling van het chemisch zuurstofverbruik (CZV)
N6634.91,NEN 6634:1991 nl,Norm vervallen,Water - Bepaling van het biochemisch zuurstofverbruik na <(cursief)n> dagen (BZV<(inf)n>) - Verdunningsmethode met enting
N6642.92,NEN 6642:1992 nl,Norm water-chemisch,Water - Berekening van het totale gehalte aan stikstof
N6643.03,NEN 6643:2003 nl,Norm water-chemisch,Water - Bepaling van het stikstofgehalte na UV-destructie met doorstroomanalyse (CFA) en spectrofotometrische detectie
N6644.83,NEN 6644:1983 nl,Norm water-chemisch,Water - Berekening van het gehalte aan vrije ammoniak
N6645.05,NEN 6645:2005 nl,Norm water-chemisch,Water - Monstervoorbehandeling voor de fotometrische bepaling van de som van de gehalten aan ammoniumstikstof en aan organisch gebonden stikstof en van het totale gehalte aan fosforverbindingen met een doorstroomanalysesysteem - Ontsluiting met zwavelzuur en kaliumsulfaat
N6646.06,NEN 6646:2006 nl,Norm water-chemisch,Water - Fotometrische bepaling van het gehalte aan ammoniumstikstof en van de som van de gehalten aan ammoniumstikstof en aan organisch gebonden stikstof volgens Kjeldahl met behulp van een doorstroomanalysesysteem
N6651.92,NEN 6651:1992 nl,Norm vervallen,Water - Fotometrische bepaling van het gehalte aan opgelost chloride met behulp van een doorstroomanalysesysteem
N6652.92,NEN 6652:1992 nl,Norm vervallen,Water - Fotometrische bepaling van de som van de gehalten aan opgelost nitraat en nitriet met behulp van een doorstroomanalysesysteem
N6653.92,NEN 6653:1992 nl,Norm vervallen,Water - Fotometrische bepaling van het gehalte aan opgelost nitriet met behulp van een doorstroomanalysesysteem
N6654.92,NEN 6654:2005 nl,Norm vervallen,Water - Fotometrische bepaling van het gehalte aan opgelost sulfaat met behulp van een doorstroomanalysesysteem
N6655.92,NEN 6655:1992 Ontw. nl,Norm vervallen,Water en bodem - Fotometrische bepaling van het totale gehalte aan cyanide en het gehalte aan vrij cyanide met behulp van een doorstroomanalysesysteem
N6655.97,NEN 6655:1997 nl,Norm vervallen,Water en bodem - Fotometrische bepaling van het totale gehalte aan cyanide en het gehalte aan vrij cyanide met behulp van een doorstroomanalysesysteem
N6662.85,NEN 6662:1985 nl,Norm vervallen,Slib - Bepaling van het totale gehalte aan fosfor
N6663.87,NEN 6663:1987 nl,Norm vervallen,Water - Fotometrische bepaling van het gehalte aan opgelost orthofosfaat en het totale gehalte aan fosforverbindingen met behulp van een doorstroomanalysesysteem
N6669.81,NEN 6669:1981 nl,Norm vervallen,Water - Fotometrische bepaling van het gehalte aan arseen
N6670.03,NEN 6670:2003 nl,Norm water-chemisch,Water - Fotometrische bepaling van het gehalte aan met waterdamp vluchtige fenolen
N6671.94,NEN 6671:1994 nl,Norm water-chemisch,Afvalwater en slib - Gravimetrische bepaling van het gehalte aan petroleumether extraheerbare oliën en vetten - Soxhlet extractie
N6672.94,NEN 6672:1994 nl,Norm water-chemisch,Afvalwater - Gravimetrische bepaling van het gehalte aan petroleumether extraheerbare oliën en vetten - Directe extractie
N6674.81,NEN 6674:1981 nl,Norm vervallen,Afvalwater - Fotometrische bepaling van het gehalte aan anionactieve detergentia
N6675.89,NEN 6675:1989 nl,Norm vervallen,Water - Bepaling van het gehalte aan minerale olie met behulp van infrarood-spectrofotometrie
N6676.94,NEN 6676:1994 nl,Norm water-chemisch,Afvalwater - Bepaling van met petroleumether extraheerbare organische gebonden halogenen (EOX-AW)
N6682.96,NEN 6682:1996 nl,Norm slib,Slib - Titrimetrische bepaling van het gehalte aan vluchtige (of lagere) vetzuren
N6685.83,NEN 6685:1983 nl,Norm slib,Slib - bepaling van de specifieke filtratieweerstand bij vacuümfiltratie
N6686.83,NEN 6686:1983 nl,Norm slib,Slib - bepaling van de specifieke filtratieweerstand bij drukfiltratie
N6687.83,NEN 6687:1983 nl,Norm slib,Slib - bepaling van de compressibiliteitscoëfficiënt bij vacuümfiltratie
N6688.83,NEN 6688:1983 nl,Norm slib,Slib - bepaling van de compressibiliteitscoëfficiënt bij drukfiltratie
N6689.83,NEN 6689:1983 nl,Norm slib,Slib - bepaling van de afzuigtijd bij vacuümfiltratie
N6691.88,NEN 6691:1988 nl,Norm slib,Slib - bepaling van de ontwaterbaarheid met de MFT-methode
