Code,Omschrijving,Groep,Titel
I11731.98,ISO 11731:1998 en,Norm water-biologisch,Water quality - Detection and enumeration of <(cursief)Legionella>
I11732.05,NEN-EN-ISO 11732:2005 en,Norm water-chemisch,Water - Bepaling van ammonium stikstof - Methode voor doorstroomanalyse (CFA en FIA) en spectrometrische detectie
I11733.04,NEN-EN-ISO 11733:2004 en,Norm water-biologisch,Water - Bepaling van de totale verwijdering en bio-afbreekbaarheid van organische verbindingen in een waterig medium - Simulatieproef met actief slib
I11734.98,NEN-EN-ISO 11734:1998 en,Norm water-biologisch,Water - Bepaling van de totale anaërobe bio-afbreekbaarheid van organische componenten in verteerd slib - Methode door meting van de biogasproductie
I11885.07,ISO 11885:2007 en,Norm water-chemisch,Water - Bepaling van geselecteerde elementen met atomaire-emissiespectrometrie met inductief gekoppeld plasma (ICP-AES)
I11885.98,NEN-EN-ISO 11885:1998 en,Norm water-chemisch,Water - Bepaling van 33 elementen met atomaire-emissiespectrometrie met inductief gekoppeld plasma
I11905-1.98,NEN-EN-ISO 11905-1:1998 nl,Norm water-chemisch,Water - Bepaling van het stikstofgehalte - Deel 1: Bepaling aan de hand van oxidatieve destructie met peroxodisulfaat
I11923.97,ISO 11923:1997 en,Norm water-fysisch,Water quality - Determination of suspended solids by filtration through glass-fibre filters
I11969.97,NEN-EN-ISO 11969:1997 nl,Norm water-chemisch,Water - Bepaling van het arseengehalte - Methode met atomaire-absorptiespectrometrie (hydridetechniek)
I12020.00,NEN-EN-ISO 12020:2000 en,Norm water-chemisch,Water - Bepaling van het gehalte aan aluminium - Atomaire-absorptiespectrometrische methoden
I12890.00,NEN-ISO 12890:2000 en,Norm water-biologisch,Water - Bepaling van de toxiteit voor zoetwatervissen in het embryonale of larvenstadium - Semistatische methode
I13358.97,ISO 13358:1997 en,Norm water-chemisch,Water - Bepaling van het gehalte aan gemakkelijk afgegeven sulfide
I13395.97,NEN-EN-ISO 13395:1997 nl,Norm water-chemisch,Water - Bepaling van het stikstofgehalte in de vorm van nitriet en in de vorm van nitraat en de som van beide met doorstroomanalyse (CFA en FIA) en spectrometrische detectie
I13536.95,ISO 13536:1995 en,Norm bodem-chemisch,"Soil quality - Determination of the potential cation exchange capacity and exchangeable cations using barium chloride solution buffered at pH = 8,1"
I13641-1.03,NEN-ISO 13641-1:2003 en,Norm water-biologisch,Water - Bepaling van de remmming van activiteit van anaërobe bacteriën - Deel 1: Algemene beproeving
I13641-2.03,NEN-ISO 13641-2:2003 en,Norm water-biologisch,Water - Bepaling van de remmming van activiteit van anaërobe bacteriën - Deel 2: Beproeving bij lage biomassaconcentratie
