Code,Omschrijving,Groep
F485+10,golffrequentie tussen 485 en 495 mHz,GolffrequentieKlasse
F495+10,golffrequentie tussen 495 en 505 mHz,GolffrequentieKlasse
F500+500,golffrequentie tussen 500 en 1000 mHz,GolffrequentieKlasse
F505+10,golffrequentie tussen 505 en 515 mHz,GolffrequentieKlasse
F515+10,golffrequentie tussen 515 en 525 mHz,GolffrequentieKlasse
F995+10,golffrequentie tussen 995 en 1005 mHz,GolffrequentieKlasse
GE-M,Geslacht-Man,BiologischKenmerk
GE-V,Geslacht-Vrouw,BiologischKenmerk
H3,uitgedrukt in Tritium,HoedanigheidEquivalent
HALVWTKL,halve waterkolom,ReferentieVlak
HAT,t.o.v. Highest Astronomical Tide,ReferentieVlak
HAc,uitgedrukt in azijnzuur,HoedanigheidEquivalent
HCO3,uitgedrukt in Bicarbonaat,HoedanigheidEquivalent
HOOGPL,t.o.v. hoog peil,ReferentieVlak
HOOGTRF,hoog tarief,HoedanigheidFractieBasis
I-TEQ,uitgedrukt in I-TEQ,HoedanigheidEquivalent
I-TEQdg,uitgedrukt in I-TEQ / drooggewicht,HoedanigheidCombinatie
INSU,In situ,niet gebruiken
K2O,uitgedrukt in kaliumoxide,HoedanigheidEquivalent
K2Odg,uitgedrukt in Kaliumoxide / drooggewicht,HoedanigheidCombinatie
KAARTNDN,t.o.v. kaart Noorden,ReferentieRichting
KCldg,uitgedrukt in Kaliumchloride / drooggewicht,HoedanigheidCombinatie
KELLBSG,t.o.v. Kelly Bushing,ReferentieVlak
KL5,uitgedrukt in 5 klassen,HoedanigheidEquivalent
KVE,uitgedrukt in kolonie vormende eenheden,HoedanigheidEquivalent
L250nm,gemeten bij golflengte 250 nm,HoedanigheidOnterecht
L254nm,gemeten bij golflengte 254 nm,HoedanigheidOnterecht
L380nm,gemeten bij golflengte 380 nm,HoedanigheidOnterecht
L400-700,gemeten bij golflengtebereik 400 tot 700 nm,HoedanigheidOnterecht
L400nm,gemeten bij golflengte 400 nm,HoedanigheidOnterecht
L435-525,gemeten bij golflengtebereik 435 tot 525 nm,HoedanigheidOnterecht
L440nm,gemeten bij golflengte 440 nm,HoedanigheidOnterecht
L455nm,gemeten bij golflengte 455 nm,HoedanigheidOnterecht
L465nm,gemeten bij golflengte 465 nm,HoedanigheidOnterecht
L470nm,gemeten bij golflengte 470 nm,HoedanigheidOnterecht
L510-600,gemeten bij golflengtebereik 510 tot 600 nm,HoedanigheidOnterecht
L525nm,gemeten bij golflengte 525 nm,HoedanigheidOnterecht
L570-670,gemeten bij golflengtebereik 570 tot 670 nm,HoedanigheidOnterecht
L570nm,gemeten bij golflengte 570 nm,HoedanigheidOnterecht
L590nm,gemeten bij golflengte 590 nm,HoedanigheidOnterecht
