"Benzo(g,h,i)peryleen in mg/kg diameter < 63 um drooggewicht in bodem/sediment";"2218%7CBenzo%28g%2Ch%2Ci%29peryleen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment"
"Benzo(g,h,i)peryleen in mg/kg drooggewicht in bodem/sediment";"444%7CBenzo%28g%2Ch%2Ci%29peryleen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment"
"Benzo(g,h,i)peryleen in mg/kg drooggewicht in zwevende stof";"499%7CBenzo%28g%2Ch%2Ci%29peryleen+in+mg%2Fkg+drooggewicht+in+zwevende+stof"
"Benzo(g,h,i)peryleen in ug/l in oppervlaktewater";"274%7CBenzo%28g%2Ch%2Ci%29peryleen+in+ug%2Fl+in+oppervlaktewater"
"Benzo(k)fluorantheen in mg/kg diameter < 63 um drooggewicht in bodem/sediment";"2219%7CBenzo%28k%29fluorantheen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment"
"Benzo(k)fluorantheen in mg/kg drooggewicht in bodem/sediment";"446%7CBenzo%28k%29fluorantheen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment"
"Benzo(k)fluorantheen in mg/kg drooggewicht in zwevende stof";"500%7CBenzo%28k%29fluorantheen+in+mg%2Fkg+drooggewicht+in+zwevende+stof"
"Benzo(k)fluorantheen in ug/l in oppervlaktewater";"275%7CBenzo%28k%29fluorantheen+in+ug%2Fl+in+oppervlaktewater"
"Benzofenon in ug/l in oppervlaktewater";"2837%7CBenzofenon+in+ug%2Fl+in+oppervlaktewater"
"Benzonitril in ug/l in oppervlaktewater";"276%7CBenzonitril+in+ug%2Fl+in+oppervlaktewater"
"Beryllium in ug/l in oppervlaktewater";"269%7CBeryllium+in+ug%2Fl+in+oppervlaktewater"
"Beryllium in ug/l na filtratie in oppervlaktewater";"270%7CBeryllium+in+ug%2Fl+na+filtratie+in+oppervlaktewater"
"Beta activiteit in Bq/kg drooggewicht in zwevende stof";"619%7CBeta+activiteit+in+Bq%2Fkg+drooggewicht+in+zwevende+stof"
"Beta activiteit in mBq/l in oppervlaktewater";"273%7CBeta+activiteit+in+mBq%2Fl+in+oppervlaktewater"
"Beta activiteit van kalium 40, berekend in mBq/l in oppervlaktewater";"524%7CBeta+activiteit+van+kalium+40%2C+berekend+in+mBq%2Fl+in+oppervlaktewater"
"Beta activiteit van tritium in mBq/l in oppervlaktewater";"315%7CBeta+activiteit+van+tritium+in+mBq%2Fl+in+oppervlaktewater"
"Beta-endosulfan in ug/kg drooggewicht in zwevende stof";"1112%7CBeta-endosulfan+in+ug%2Fkg+drooggewicht+in+zwevende+stof"
"Beta-endosulfan in ug/l in oppervlaktewater";"272%7CBeta-endosulfan+in+ug%2Fl+in+oppervlaktewater"
"Beta-hexachloorcyclohexaan in ug/kg drooggewicht in bodem/sediment";"620%7CBeta-hexachloorcyclohexaan+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment"
"Beta-hexachloorcyclohexaan in ug/kg drooggewicht in zwevende stof";"621%7CBeta-hexachloorcyclohexaan+in+ug%2Fkg+drooggewicht+in+zwevende+stof"
"Beta-hexachloorcyclohexaan in ug/l in oppervlaktewater";"417%7CBeta-hexachloorcyclohexaan+in+ug%2Fl+in+oppervlaktewater"
"Bicarbonaat in mg/l in oppervlaktewater";"318%7CBicarbonaat+in+mg%2Fl+in+oppervlaktewater"
"Bifenyl in ug/l in oppervlaktewater";"5449%7CBifenyl+in+ug%2Fl+in+oppervlaktewater"
"Biochemisch zuurstofverbruik met allythio ureum in mg/l in oppervlaktewater";"522%7CBiochemisch+zuurstofverbruik+met+allythio+ureum+in+mg%2Fl+in+oppervlaktewater"
"Biochemisch zuurstofverbruik over 5 dagen in mg/l in oppervlaktewater";"550%7CBiochemisch+zuurstofverbruik+over+5+dagen+in+mg%2Fl+in+oppervlaktewater"
"Bis-chloorisopropylether in ug/l in oppervlaktewater";"268%7CBis-chloorisopropylether+in+ug%2Fl+in+oppervlaktewater"
"Bisfenol-a in ug/l in oppervlaktewater";"5142%7CBisfenol-a+in+ug%2Fl+in+oppervlaktewater"
"Boor in ug/l in oppervlaktewater";"261%7CBoor+in+ug%2Fl+in+oppervlaktewater"
"Boor in ug/l na filtratie in oppervlaktewater";"262%7CBoor+in+ug%2Fl+na+filtratie+in+oppervlaktewater"
"Bromaat in ug/l uitgedrukt in bromaat in oppervlaktewater";"1003%7CBromaat+in+ug%2Fl+uitgedrukt+in+bromaat+in+oppervlaktewater"
"Bromacil in ug/l in oppervlaktewater";"2966%7CBromacil+in+ug%2Fl+in+oppervlaktewater"
"Bromide in mg/l in oppervlaktewater";"549%7CBromide+in+mg%2Fl+in+oppervlaktewater"
"Butanon-2 (mek) in ug/l in oppervlaktewater";"3164%7CButanon-2+%28mek%29+in+ug%2Fl+in+oppervlaktewater"
"Butocarboxim in ug/l in oppervlaktewater";"2162%7CButocarboxim+in+ug%2Fl+in+oppervlaktewater"
"Cadmium in mg/kg diameter < 63 um drooggewicht in bodem/sediment";"2193%7CCadmium+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment"
"Cadmium in mg/kg drooggewicht in bodem/sediment";"448%7CCadmium+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment"
"Cadmium in mg/kg drooggewicht in zwevende stof";"501%7CCadmium+in+mg%2Fkg+drooggewicht+in+zwevende+stof"
"Cadmium in ug/l in oppervlaktewater";"279%7CCadmium+in+ug%2Fl+in+oppervlaktewater"
"Cadmium in ug/l na filtratie in oppervlaktewater";"280%7CCadmium+in+ug%2Fl+na+filtratie+in+oppervlaktewater"
"Cadmium in ug/l particulair gebonden in oppervlaktewater";"1023%7CCadmium+in+ug%2Fl+particulair+gebonden+in+oppervlaktewater"
