"Datatype","Extract","Transform read","Load","No Inspire URL","Inspire URL","Country"
"Morphology - Bathymetry","Data included","Script found","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/ualg/Tests","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/ualg/Tests/Profiles/Micore_CROP.xml","pt"
"Storms - Historical records (up to 50-150 yr)","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/ualg/storms",,"pt"
"Morphology - Topography","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/uca/topography","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/uca/topography/6e6280f1-8fe0-44e2-8089-8f8e3f3dcfea.xml","es"
"Morphology - Bathymetry","Data included","Script found","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/bathymetry","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/bathymetry/raw/Bathy_Micore_Sept_09.xml","it"
"Morphology - Bathymetry","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/bathymetry","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/bathymetry/raw/Bathy_Micore.xml","it"
"Storms - Historical records (up to 50-150 yr)","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/storms",,"it"
"Morphology - Topography","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography/raw/dune%20foot/dunefoot_Dec-2008.xml","it"
"Morphology - Topography","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography/raw/dune%20foot/dunefoot_Jan-2009.xml","it"
"Morphology - Topography","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography/raw/dune%20foot/dunefoot_Sep-2008.xml","it"
"Morphology - Topography","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography/raw/run%20up/runup_Dec-2008.xml","it"
"Morphology - Topography","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography/raw/run%20up/runup_Jan-2009.xml","it"
"Morphology - Topography","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography/raw/run%20up/runup_protectedarea_Sept-2009.xml","it"
"Morphology - Topography","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography/raw/topo_baseline_Sept-2008.xml","it"
"Morphology - Topography","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography/raw/topo_Feb_2009.xml","it"
"Morphology - Topography","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/unife/topography/raw/topo_Feb_2010.xml","it"
