time;platform_id;platform_name;lon;lat;wgs_84;epsg;x;y;z;value;unit;location_name
17-07-13 08:46:00;Imares_st_2;RANSGZD;;;;;;;;0.3051;mgN/l;RANSGZD
01-08-13 09:57:00;Imares_st_2;RANSGZD;;;;;;;;0.2868;mgN/l;RANSGZD
15-08-13 08:29:00;Imares_st_2;RANSGZD;;;;;;;;0.2246;mgN/l;RANSGZD
29-08-13 08:53:00;Imares_st_2;RANSGZD;;;;;;;;0.2311;mgN/l;RANSGZD
16-09-13 12:00:00;Imares_st_2;RANSGZD;;;;;;;;0.2739;mgN/l;RANSGZD
15-10-13 11:31:00;Imares_st_2;RANSGZD;;;;;;;;0.3424;mgN/l;RANSGZD
14-11-13 11:13:00;Imares_st_2;RANSGZD;;;;;;;;0.6218;mgN/l;RANSGZD
22-01-13 11:46:00;Imares_st_3;DOEKGZD;;;;;;;;3.6712;mgN/l;DOEKGZD
21-02-13 12:39:00;Imares_st_3;DOEKGZD;;;;;;;;3.7701;mgN/l;DOEKGZD
07-03-13 11:02:00;Imares_st_3;DOEKGZD;;;;;;;;3.5188;mgN/l;DOEKGZD
25-03-13 14:32:00;Imares_st_3;DOEKGZD;;;;;;;;3.3555;mgN/l;DOEKGZD
04-04-13 10:30:00;Imares_st_3;DOEKGZD;;;;;;;;2.6646;mgN/l;DOEKGZD
18-04-13 09:17:00;Imares_st_3;DOEKGZD;;;;;;;;2.0553;mgN/l;DOEKGZD
02-05-13 07:43:00;Imares_st_3;DOEKGZD;;;;;;;;1.8611;mgN/l;DOEKGZD
22-05-13 14:15:00;Imares_st_3;DOEKGZD;;;;;;;;0.7922;mgN/l;DOEKGZD
04-06-13 13:19:00;Imares_st_3;DOEKGZD;;;;;;;;0.9208;mgN/l;DOEKGZD
19-06-13 12:20:00;Imares_st_3;DOEKGZD;;;;;;;;0.8208;mgN/l;DOEKGZD
03-07-13 12:45:00;Imares_st_3;DOEKGZD;;;;;;;;0.9079;mgN/l;DOEKGZD
17-07-13 09:34:00;Imares_st_3;DOEKGZD;;;;;;;;0.9807;mgN/l;DOEKGZD
01-08-13 11:34:00;Imares_st_3;DOEKGZD;;;;;;;;0.7759;mgN/l;DOEKGZD
15-08-13 10:14:00;Imares_st_3;DOEKGZD;;;;;;;;0.7035;mgN/l;DOEKGZD
29-08-13 10:18:00;Imares_st_3;DOEKGZD;;;;;;;;0.6271;mgN/l;DOEKGZD
16-09-13 13:45:00;Imares_st_3;DOEKGZD;;;;;;;;0.6343;mgN/l;DOEKGZD
15-10-13 13:12:00;Imares_st_3;DOEKGZD;;;;;;;;0.8128;mgN/l;DOEKGZD
14-11-13 13:04:00;Imares_st_3;DOEKGZD;;;;;;;;1.6961;mgN/l;DOEKGZD
22-01-13 12:45:00;Imares_st_4;PAAPSSD;;;;;;;;4.243;mgN/l;PAAPSSD
21-02-13 13:35:00;Imares_st_4;PAAPSSD;;;;;;;;4.3071;mgN/l;PAAPSSD
07-03-13 12:06:00;Imares_st_4;PAAPSSD;;;;;;;;4.4291;mgN/l;PAAPSSD
25-03-13 15:34:00;Imares_st_4;PAAPSSD;;;;;;;;3.8933;mgN/l;PAAPSSD
04-04-13 11:32:00;Imares_st_4;PAAPSSD;;;;;;;;3.1952;mgN/l;PAAPSSD
18-04-13 10:23:00;Imares_st_4;PAAPSSD;;;;;;;;2.6941;mgN/l;PAAPSSD
02-05-13 08:48:00;Imares_st_4;PAAPSSD;;;;;;;;2.2792;mgN/l;PAAPSSD
22-05-13 15:22:00;Imares_st_4;PAAPSSD;;;;;;;;1.4513;mgN/l;PAAPSSD
04-06-13 14:25:00;Imares_st_4;PAAPSSD;;;;;;;;1.2835;mgN/l;PAAPSSD
19-06-13 13:26:00;Imares_st_4;PAAPSSD;;;;;;;;1.1001;mgN/l;PAAPSSD
03-07-13 13:47:00;Imares_st_4;PAAPSSD;;;;;;;;1.1381;mgN/l;PAAPSSD
17-07-13 10:38:00;Imares_st_4;PAAPSSD;;;;;;;;1.1721;mgN/l;PAAPSSD
01-08-13 12:39:00;Imares_st_4;PAAPSSD;;;;;;;;0.879;mgN/l;PAAPSSD
15-08-13 11:22:00;Imares_st_4;PAAPSSD;;;;;;;;0.8069;mgN/l;PAAPSSD
