time,platform_id,platform_name,lon,lat,wgs_84,epsg,x,y,z,value,unit,location_name
2013-05-02,Imares_st_6,GROOTGTND,,,,,,,,0.498333639,mgC/l,GROOTGTND
2013-05-22,Imares_st_6,GROOTGTND,,,,,,,,0.333361643,mgC/l,GROOTGTND
2013-06-04,Imares_st_6,GROOTGTND,,,,,,,,0.806028897,mgC/l,GROOTGTND
2013-06-19,Imares_st_6,GROOTGTND,,,,,,,,0.19295389,mgC/l,GROOTGTND
2013-07-03,Imares_st_6,GROOTGTND,,,,,,,,0.143019334,mgC/l,GROOTGTND
2013-07-18,Imares_st_6,GROOTGTND,,,,,,,,0.043822196,mgC/l,GROOTGTND
2013-08-01,Imares_st_6,GROOTGTND,,,,,,,,0.180071255,mgC/l,GROOTGTND
2013-08-15,Imares_st_6,GROOTGTND,,,,,,,,0.103727336,mgC/l,GROOTGTND
2013-08-29,Imares_st_6,GROOTGTND,,,,,,,,0.263144225,mgC/l,GROOTGTND
2013-09-16,Imares_st_6,GROOTGTND,,,,,,,,1.050085001,mgC/l,GROOTGTND
2013-10-15,Imares_st_6,GROOTGTND,,,,,,,,0.508456064,mgC/l,GROOTGTND
2013-11-14,Imares_st_6,GROOTGTND,,,,,,,,0.119532632,mgC/l,GROOTGTND
2013-12-12,Imares_st_6,GROOTGTND,,,,,,,,0.15188186,mgC/l,GROOTGTND
