Code;Omschrijving;Groep;Titel;D_BEGIN;D_EIND;D_STATUS
"N5765.91";"NEN 5765:1991 nl";"Norm vervallen";"Bodem - Bepaling van het gehalte aan nikkel in grond met behulp van atomaire-absorptiespectrometrie (vlamtechniek) na ontsluiting met salpeterzuur en zoutzuur";11-06-2011;;"G"
"N5766.03";"NEN 5766:2003 nl";"Norm bodem-fysisch";"Bodem - Plaatsing van peilbuizen ten behoeve van milieukundig bodemonderzoek";11-06-2011;;"G"
"N5767.91";"NEN 5767:1991 nl";"Norm vervallen";"Bodem - Bepaling van het gehalte aan chroom in grond met behulp van atomaire-absorptiespectrometrie (vlamtechniek) na ontsluiting met salpeterzuur en zoutzuur";11-06-2011;;"G"
"N5768.92";"NEN 5768:1992 nl";"Norm bodem-chemisch";"Bodem - Monstervoorbehandeling van grond voor de bepaling van elementen met atomaire spectrometrie - Ontsluiting met salpeterzuur en zwavelzuur";11-06-2011;;"G"
"N5769.91";"NEN 5769:1991 nl";"Norm vervallen";"Bodem - Bepaling van het gehalte aan nitraat en ammonium in grond na extractie met een calciumchloride-oplossing (0,01 mol/l)";11-06-2011;;"G"
"N5771.99";"NEN 5771:1999 nl";"Norm bodem-chemisch";"Bodem - Waterbodem - Bepaling van de gehalten aan polycyclische aromatische koolwaterstoffen met hogedrukvloeistofchromatografie";11-06-2011;;"G"
"N5773.90";"NEN 5773:1990 nl";"Norm bodem-fysisch";"Bodem - Bepaling van de soortelijke weerstand met behulp van geo-elektrische metingen";11-06-2011;;"G"
"N5774.90";"NEN 5774:1990 nl";"Norm bodem-fysisch";"Bodem - Bepaling van de soortelijke weerstand met behulp van elektromagnetische weerstandsmetingen";11-06-2011;;"G"
"N5776.06";"NEN 5776:2006 nl";"Norm bodem-chemisch";"Bodem - Bepaling van ijzer, aluminium en fosfor in een ammoniumoxalaat-oxaalzuurextract voor het vaststellen van de fosfaatverzadiging";11-06-2011;;"G"
"N5777.94";"NEN 5777:1994 nl";"Norm vervallen";"Bodem - Bepaling van het halogeengehalte afkomstig van niet-vluchtige met petroleumether en aceton extraheerbare organohalogeenverbindingen (EOX) in waterbodem met behulp van coulometrie";11-06-2011;;"G"
"N5779.94";"NEN 5779:1994 nl";"Norm vervallen";"Bodem - Bepaling van het gehalte aan kwik in grond met atomaire-absorptiespectrometrie (koude damptechniek) na ontsluiting met salpeterzuur en zoutzuur";11-06-2011;;"G"
"N5780.96";"NEN 5780:1996 nl";"Norm bodem-chemisch";"Bodem - Bepaling van de potentiële kationen-uitwisselingscapaciteit en uitwisselbare basische kationen in grond";11-06-2011;;"G"
"N5781.92";"NEN 5781:1992 nl";"Norm bodem-fysisch";"Bodem - Onverzadigde zone - Gravimetrische bepaling van het watergehalte en de droge volumieke massa van grond";11-06-2011;;"G"
"N5782.91";"NEN 5782:1991 nl";"Norm bodem-fysisch";"Bodem - Onverzadigde zone - Bepaling van het watergehalte met een neutronendieptesonde";11-06-2011;;"G"
