Code;Omschrijving;Groep;Titel;D_BEGIN;D_EIND;D_STATUS
"I15089.00";"ISO 15089:2000 en";"Norm water-chemisch";"Waterkwaliteit - Leidraad voor selectieve immunoassays voor de bepaling van plantenbehandelings- en bestrijdingsmiddelen";11-06-2011;;"G"
"I15178.00";"ISO 15178:2000 en";"Norm bodem-chemisch";"Bodem - Bepaling van het totale gehalte aan zwavel door droge verbran ding";11-06-2011;;"G"
"I15522.99";"NEN-ISO 15522:1999 en";"Norm water-biologisch";"Water - Bepaling van het remmende effect van waterbestanddelen op de groei van micro-organismen in geactiveerd slib";11-06-2011;;"G"
"I15553.06";"NEN-ISO 15553:2006 en";"Norm water-biologisch";"Water - Isolatie en identificatie van <(cursief)Cryptosporidium> oocystsen <(cursief)Giardia> cysts uit water";11-06-2011;;"G"
"I15586.03";"NEN-EN-ISO 15586:2003 en";"Norm water-chemisch";"Water - Bepaling van sporenelementen met behulp van atomaire absorptiespectrometrie met grafietoventechniek";11-06-2011;;"G"
"I15587-1.02";"NEN-EN-ISO 15587-1:2002 en";"Norm water-chemisch";"Water - Ontsluiting voor de bepaling van geselecteerde elementen in water - Deel 1: Koningswater ontsluiting";11-06-2011;;"G"
"I15587-2.02";"NEN-EN-ISO 15587-2:2002 en";"Norm water-chemisch";"Water - Ontsluiting voor de bepaling van geselecteerde elementen in water - Deel 2: Ontsluiting met salpeterzuur";11-06-2011;;"G"
"I15680.03";"NEN-EN-ISO 15680:2003 en";"Norm water-chemisch";"Water - Gaschromatografische bepaling van een aantal monocyclische aromatische koolwaterstoffen, naftaleen en verscheidene gechloreerde verbindingen met 'purge-and-trap' en thermische desorptie";11-06-2011;;"G"
"I15681-1.05";"NEN-EN-ISO 15681-1:2005 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan orthofosfaat en het totale gehalte aan fosfor met behulp van doorstroomanalyse (FIA and CFA) - Deel 1: Methode met een doorstroominjectiesysteem (FIA)";11-06-2011;;"G"
"I15681-2.05";"NEN-EN-ISO 15681-2:2005 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan orthofosfaat en het totale gehalte aan fosfor met behulp van doorstroomanalyse (FIA and CFA) - Deel 2: Methode met een continu doorstroomanalysesysteem (CFA)";11-06-2011;;"G"
"I15682.01";"NEN-EN-ISO 15682:2001 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan chloride met doorstroomanalyse (CFA en FIA) en fotometrische of potentiometrische detectie";11-06-2011;;"G"
"I15705.03";"NEN-ISO 15705:2003 en";"Norm water-chemisch";"Water - Bepaling van het chemisch zuurstofverbruik (ST-COD) - Kleinschalige gesloten buis methode";11-06-2011;;"G"
"I15913.03";"NEN-EN-ISO 15913:2003 en";"Norm water-chemisch";"Water - Bepaling van geselecteerde fenoxyalkaanherbicide , inclusief bentazonen en hydroxybenzonitrillen met gaschromatografie en massaspectrometrie na vastefase-extractie en derivatisering";11-06-2011;;"G"
"I16221.01";"NEN-ISO 16221:2001 en";"Norm water-biologisch";"Water - Leidraad voor bepaling van de bioafbreekbaarheid in zeewater";11-06-2011;;"G"
"I16240.05";"ISO 16240:2005 en";"Norm water-biologisch";"Water - Bepaling van de genotoxiciteit van water en afvalwater met de <(cursief) Salmonella/>microsomeproef (Ames proef)";11-06-2011;;"G"
"I16264.02";"ISO 16264:2002 en";"Norm water-chemisch";"Water - Bepaling van oplosbare silicaten met behulp van een doorstroomanalysesysteem (FIA en CFA) en fotometrische detectie";11-06-2011;;"G"
"I16264.04";"NEN-EN-ISO 16264:2004 en";"Norm water-chemisch";"Water - Bepaling van oplosbare silicaten met behulp van een doorstroomanalysesysteem (FIA en CFA) en fotometrische detectie";11-06-2011;;"G"
"I16266.06";"ISO 16266:2006 en";"Norm water-biologisch";"Water - Detectie en telling van <(cursief)Pseunomonas aeruginosa> - Membraanfiltratiemethode";11-06-2011;;"G"
"I16588.03";"NEN-EN-ISO 16588:2003 en";"Norm water-chemisch";"Water - Bepaling van zes complexvormende verbindingen - Gaschromatografische methode";11-06-2011;;"G"
"I16590.00";"ISO 16590:2000 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan kwik - Methoden na verrijking door amalgamatie";11-06-2011;;"G"
"I16665.05";"NEN-EN-ISO 16665:2005 en";"Norm water-biologisch";"Water - Richtlijnen voor kwantitatieve bemonstering en monsterbehandeling van macro-invertebraten in marien zacht substraat";11-06-2011;;"G"
"I16703.04";"ISO 16703:2004 en";"Norm bodem-chemisch";"Bodem - Bepaling van het gehalte aan minerale olie van C10 tot C40 door gaschromatografie";11-06-2011;;"G"
"I16720.07";"NEN-EN-ISO 16720:2007 en";"Norm bodem-fysisch";"Bodem - Voorbehandeling van monsters door vriesdrogen voor daaropvolgende analyse";11-06-2011;;"G"
"I16772.04";"NEN-ISO 16772:2004 en";"Norm bodem-chemisch";"Bodem - Bepaling van het gehalte aan kwik in koningswater bodemextracten met behulp van atomaire-absorptiespectrometrie met koude damp of atomaire fluorescentiespectrometrie met koude damp";11-06-2011;;"G"
"I17294-1.06";"NEN-EN-ISO 17294-1:2006 en";"Norm water-chemisch";"Water - Toepassing van massaspectrometrie met inductief gekoppelde plasma (ICP-MS) - Deel 1: Algemene richtlijnen";11-06-2011;;"G"
"I17294-2.04";"NEN-EN-ISO 17294-2:2004 en";"Norm water-chemisch";"Water - Toepassing van massaspectrometrie met inductief gekoppelde plasma (ICP-MS) - Deel 2: Bepaling van 62 elementen";11-06-2011;;"G"
"I17353.05";"NEN-EN-ISO 17353:2005 en";"Norm water-chemisch";"Water - Bepaling van geselecteerde organotinverbindingen - Gaschromatografische methode";11-06-2011;;"G"
"I17380.06";"NEN-ISO 17380:2006 en";"Norm bodem-chemisch";"Bodem - Bepaling van het totale gehalte aan cyanide en het gehalte aan vrije cyanide - Continue doorstroomanalyse methode";11-06-2011;;"G"
"I17495.03";"NEN-EN-ISO 17495:2003 en";"Norm water-chemisch";"Water - Bepaling van de geselecteerde nitrofenolen - Methode door vaste stofextractie en gaschromatografie met massaspectrometrische detectie";11-06-2011;;"G"
"I17852.06";"ISO 17852:2006 en";"Norm water-chemisch";"Water - Bepaling van kwik - Methode met atomaire fluorecentiespectometrie";11-06-2011;;"G"
"I17852.08";"NEN-EN-ISO 17852:2008 en";"Norm water-chemisch";"Water - Bepaling van kwik - Methode met atomaire fluorecentiespectometrie";06-12-2011;;"G"
"I17858.07";"ISO 17858:2007 en";"Norm water-chemisch";"Water - Bepaling van dioxine-achtige polychloorbifenylen - Methode met gaschromatografie en massaspectometrie";11-06-2011;;"G"
"I17993.04";"NEN-EN-ISO 17993:2004 en";"Norm water-chemisch";"Water - Bepaling van 15 polycyclische aromatische koolwaterstoffen (PAK) in water met HPLC met fluorescentiedetectie na vloeistof-vloeistof extractie";11-06-2011;;"G"
"I17994.04";"NEN-EN-ISO 17994:2004 en";"Norm water-biologisch";"Water - Criteria voor het vaststellen van gelijkwaardigheid van microbiologische methoden";11-06-2011;;"G"
"I18073.04";"NEN-ISO 18073:2004 en";"Norm water-chemisch";"Water - Bepaling van tetra- tot octa-gechloreerde dioxinen en furanen - Methode met isotoopverdunning-HRGC/HRMS";11-06-2011;;"G"
"I18287.06";"NEN-ISO 18287:2006 en";"Norm bodem-chemisch";"Bodem - Bepaling van polycyclische aromatische koolwaterstoffen (PAK) - Gaschromatografische methode met massaspectrometrische detectie (GC-MS)";11-06-2011;;"G"
"I18412.06";"NEN-EN-ISO 18412:2006 en";"Norm water-chemisch";"Water - Bepaling van chroom (VI) - Fotometrische methode voor zwak verontreinigd water";11-06-2011;;"G"
"I18749.04";"NEN-ISO 18749:2004 en";"Norm water-biologisch";"Water - Absorptie van stoffen op geactiveerd slib - Batchproef met behulp van gespecificeerde analytische methoden";11-06-2011;;"G"
"I18856.05";"NEN-EN-ISO 18856:2005 en";"Norm water-chemisch";"Water - Bepaling van geselecteerde ftalaten met gebruik van gaschromatografie/massaspectrometrie";11-06-2011;;"G"
"I18857-1.06";"NEN-EN-ISO 18857-1:2006 en";"Norm water-chemisch";"Water - Bepaling van geselecteerde alkylfenolen - Deel 1: Methode voor niet-gefiltreerde monsters met vloeistofextractie en gaschromatografie met massaselectieve detectie";11-06-2011;;"G"
"I19250.03";"NEN-EN-ISO 19250:2003 Ontw. en";"Norm water-biologisch";"Water - Bepaling van Salmonella species";11-06-2011;;"G"
"I19493.07";"NEN-EN-ISO 19493:2007 en";"Norm water-biologisch";"Water - Richtlijn voor marien biologisch onderzoek van litorale en sublitorale verharde bodem";11-06-2011;;"G"
"I20079.06";"NEN-EN-ISO 20079:2006 en";"Norm water-biologisch";"Water - Bepaling van de toxiciteit van componenten in water en afvalwater op eendenkroos (Lemna minor) - Test voor de remming van de groei van eendenkroos";11-06-2011;;"G"
"I20179.05";"NEN-ISO 20179:2005 en";"Norm water-chemisch";"Water - Bepaling van microcystinen - Methode met vastefase- extractie (SPE) en hogeprestatievloeistofchromatografie (HPLC) met ultravioletdetectie (UV)";11-06-2011;;"G"
"I20279.05";"ISO 20279:2005 en";"Norm bodem-chemisch";"Bodem - Extractie en bepaling van thallium door electrothermische atomaire absorptiespectrometrie";11-06-2011;;"G"
"I20280.07";"ISO 20280:2007 en";"Norm bodem-chemisch";"Bodem - Bepaling van arseen, antimoon en seleen in koningswater bodemextracten met elektrothermische of hydridegeneratie atomaire absorptiespectrometrie";11-06-2011;;"G"
"I21427-1.06";"NEN-ISO 21427-1:2006 en";"Norm water-biologisch";"Water - Evaluatie van genotoxiciteit door meting van de inductie van micronuclei - Deel 1: Evaluatie van genotoxiciteit met behulp van amfibische larven";11-06-2011;;"G"
"I21427-2.06";"NEN-ISO 21427-2:2006 en";"Norm water-biologisch";"Water - Evaluatie van genotoxiciteit door meting van de inductie van micronuclei - Deel 2: ""Gemengde populatie""-methode met gebruik van de cellijn V79";11-06-2011;;"G"
"I22032.06";"ISO 22032:2006 en";"Norm water-chemisch";"Water - Bepaling van geselecteerde polybroomdifenylethers in sediment en rioleringsslib - Methode met extractie en gaschromatografie/massaspectrometrie";11-06-2011;;"G"
"I22036.08";"ISO 22036:2008 en";"Norm bodem-chemisch";"Bodem  Bepaling van spoorelementen in bodemextracten met inductief gekoppeld plasma-atomaire emissiespectrometrie (ICP-AES)";06-12-2011;;"G"
"I22155.05";"NEN-ISO 22155:2005 en";"Norm vervallen";"Bodem - Gaschromatografische kwantitatieve bepaling van vluchtige aromatische en gehalogeneerde koolwaterstoffen en geselecteerde ethers - Statische 'headspace' methode";06-12-2011;;"G"
"I22155.11";"NEN-ISO 22155:2001en";"Norm bodem-chemisch";"Bodem - Gaschromatografische bepaling van vluchtige aromatische en gehalogeneerde koolwaterstoffen en geselecteerde ethers - Statische ""headspace"" methode";06-12-2011;;"G"
"I22478.06";"NEN-EN-ISO 22478:2006 en";"Norm water-chemisch";"Water - Bepaling van bepaalde explosieven en verwante stoffen - Methode met hogeprestatievloeistofchromatografie (HPLC) en UV-detectie";11-06-2011;;"G"
"I22743.06";"NEN-ISO 22743:2006 en";"Norm water-chemisch";"Water - Bepaling van sulfaat met een doorstroomanalysesysteem (CFA)";11-06-2011;;"G"
"I23161.09";"ISO 23161:2009";"Norm bodem-chemisch";"Bodem  Bepaling van geselecteerde organotinverbindingen  Methode met gaschromatografie";06-12-2011;;"G"
"I23470.07";"ISO 23470:2007 en";"Norm bodem-fysisch";"Bodem - Bepaling van de effective kationen-uitwisselingscapaciteit (CEC) en uitwisselbare kationen met behulp van een hexamminecobalt trichloride oplossing";11-06-2011;;"G"
"I23631.06";"NEN-EN-ISO 23631:2006 en";"Norm water-chemisch";"Water - Bepaling van dalapon, trichloorazijnzuur en geselecteerde halo-azijnzuren - Methode met gaschromatografie (detectie met GC-ECD en/of GC-MS) na vloeistof-vloeistofextractie en derivatisering";11-06-2011;;"G"
"I23893-1.07";"ISO 23893-1:2007 en";"Norm water-biologisch";"Water - Biochemische en fysiologische bepalingen aan vis - Deel 1: Monsterneming van vis, behandeling en conservering van monsters";11-06-2011;;"G"
"I23913.06";"NEN-ISO 23913:2006 en";"Norm water-chemisch";"Water - Bepaling van chroom (IV) - Methode met doorstroomanalyse (FIA en CFA) en spectrometrische detectie";11-06-2011;;"G"
"I4832.06";"ISO 4832:2006 en";"Norm water-biologisch";"Microbiologie van voedingsmiddelen en diervoeders - Horizontale methode voor de telling van het aantal coliformen - Telplaattechniek";27-04-2013;;"G"
"I5663.93";"NEN-ISO 5663:1993 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan Kjeldahl-stikstof - Methode na mineralisatie met seleen";11-06-2011;;"G"
"I5664.04";"NEN-ISO 5664:2004 en";"Norm water-chemisch";"Water - Bepaling van ammonium - Destillatie en titratie methode";11-06-2011;;"G"
"I5666.99";"ISO 5666:1999 en";"Norm water-chemisch";"Water - Bepaling van kwik";11-06-2011;;"G"
"I5667-16.98";"NEN-EN-ISO 5667-16:1998 en";"Norm water-biologisch";"Water - Monsterneming - Deel 16: Richtlijn voor het biologisch onderzoek van monsters";11-06-2011;;"G"
"I5813.93";"NEN-ISO 5813:1993 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan opgeloste zuurstof - Iodometrische methode";11-06-2011;;"G"
"I5814.93";"NEN-ISO 5814:1993 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan opgeloste zuurstof - Elektrochemische methode";11-06-2011;;"G"
"I5815-1.03";"ISO 5815-1:2003 en";"Norm water-chemisch";"Water - Bepaling van het biochemisch zuurstofverbruik na <(cursief)n> dagen (BZV<(inf)n>) - Deel 1: Verdunning en enting onder toevoeging van allylthioureum";11-06-2011;;"G"
"I5815-2.03";"ISO 5815-2:2003 en";"Norm water-chemisch";"Water - Bepaling van het biochemisch zuurstofverbruik na <(cursief)n> dagen (BZV<(inf)n>) - Deel 2: Methode voor onverdunde monsters";11-06-2011;;"G"
"I5961.95";"NEN-EN-ISO 5961:1995 nl";"Norm water-chemisch";"Water - Bepaling van het cadmiumgehalte met de atomaire-absorptiespectrometrie";11-06-2011;;"G"
"I6058.84";"ISO 6058:1984 en";"Norm water-chemisch";"Water quality - Determination of calcium content - EDTA titrimetric method";11-06-2011;;"G"
"I6059.05";"NEN-ISO 6059:2005 en";"Norm water-chemisch";"Water - Bepaling van de som van calcium en magnesium - EDTA titrimetrische methode";11-06-2011;;"G"
"I6060.89";"ISO 6060:1989 en";"Norm water-chemisch";"Water quality - Determination of the chemical oxygen demand";11-06-2011;;"G"
"I6222.99";"NEN-EN-ISO 6222:1999 en";"Norm water-biologisch";"Water - Telling van kweekbare micro-organismen - Bepaling van het koloniegetal door enting in een voedingsbodem van gistextract agar";11-06-2011;;"G"
"I6332.04";"NEN-ISO 6332:2004 en";"Norm water-chemisch";"Water - Bepaling van ijzer - Spectrometrische methode met gebruik van 1,10-fenantroline";11-06-2011;;"G"
"I6333.88";"NEN-ISO 6333:1988 nl";"Norm water-chemisch";"Water - Bepaling van het gehalte aan mangaan - Spectrofotometrische methode met formaldoxim";11-06-2011;;"G"
"I6340.93";"NEN-ISO 6340:1993 en";"Norm vervallen";"Water - Bepaling van Salmonella";11-06-2011;;"G"
"I6341.96";"NEN-EN-ISO 6341:1996 en";"Norm water-biologisch";"Water - Bepaling van de remming van de mobiliteit van <(cursief)Daphnia Magna> Straus (<(cursief)Cladocera, Crustacea>) - Acute toxiciteitsproef";11-06-2011;;"G"
"I6439.90";"ISO 6439:1990 en";"Norm water-chemisch";"Water quality - Determination of phenol index - 4-Aminoantipyrine spectrometric methods after distillation";11-06-2011;;"G"
"I6461-1.93";"NEN-ISO 6461-1:1993 en";"Norm water-biologisch";"Water - Detectie en enumeratie van de sporen van sulfietreducerende anaerobes (clostridia) - Deel 1: Methode door middel van verrijking in een vloeibaar medium";11-06-2011;;"G"
"I6461-2.93";"NEN-ISO 6461-2:1993 en";"Norm water-biologisch";"Water - Detectie en enumeratie van de sporen van sulfietreducerende anaerobes (clostridia) - Deel 2: Methode door middel van membraanfiltratie";11-06-2011;;"G"
"I6468.97";"NEN-EN-ISO 6468:1997 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan organochloor-bestrijdingsmiddelen, polychloorbifenylen en chloorbenzenen - Gaschromatografische methode na vloeistof/vloeistof- extractie";11-06-2011;;"G"
"I6595.93";"NEN-EN-ISO 6595:1993 en";"Norm water-chemisch";"Water - Bepaling van totale gehalte aan arseen - Spectrofotometrische methode met gebruik van zilverdiethyldithiocarbamaat";11-06-2011;;"G"
"I6703-1.84";"ISO 6703-1:1984 en";"Norm water-chemisch";"Water quality - Determination of cyanide - Part 1: Determination of total cyanide";11-06-2011;;"G"
"I6703-2.84";"ISO 6703-2:1984 en";"Norm water-chemisch";"Water quality - Determination of cyanide - Part 2: Determination of easily liberatable cyanide";11-06-2011;;"G"
"I6703-3.84";"ISO 6703-3:1984 en";"Norm water-chemisch";"Water quality - Determination of cyanide - Part 3: Determination of cyanogen chloride";11-06-2011;;"G"
"I6777.93";"NEN-ISO 6777:1993 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan nitriet - Moleculaire-absorptiespectrometrische methode";11-06-2011;;"G"
"I6778.84";"ISO 6778:1984 en";"Norm water-chemisch";"Water quality - Determination of ammonium - Potentiometric method";11-06-2011;;"G"
"I6878.04";"NEN-EN-ISO 6878:2004 en";"Norm water-chemisch";"Water - Bepaling van fosfor - Ammoniummolybdaat spectometrische methode";11-06-2011;;"G"
"I7027.00";"NEN-EN-ISO 7027:2000 en";"Norm water-fysisch";"Water - Bepaling van de troebelheid";11-06-2011;;"G"
"I7150-1.02";"NEN-ISO 7150-1:2002 en";"Norm water-chemisch";"Water - Bepaling van ammonium - Deel 1: Handmatige spectrometrische methode";11-06-2011;;"G"
"I7346-1.97";"NEN-EN-ISO 7346-1:1997 en";"Norm water-biologisch";"Water - Bepaling van de acute letale toxiciteit van stoffen voor zoetwatervissen [<(cursief)Brachydanio rerio> Hamilton-Buchanan (Teleostei, Cyprinidae)] - Deel 1: Statische methode";11-06-2011;;"G"
"I7346-2.97";"NEN-EN-ISO 7346-2:1997 en";"Norm water-biologisch";"Water - Bepaling van de acute letale toxiciteit van stoffen voor zoetwatervissen[<(cursief)Brachydanio rerio> Hamilton-Buchanan (Teleostei, Cyprinidae)] - Deel 2: Semi-statische methode";11-06-2011;;"G"
"I7346-3.97";"NEN-EN-ISO 7346-3:1997 en";"Norm water-biologisch";"Water - Bepaling van de acute letale toxiciteit van stoffen voor zoetwatervissen [<(cursief)Brachydanio rerio> Hamilton-Buchanan (Teleostei, Cyprinidae )] - Deel 3: Methode voor continue stroming";11-06-2011;;"G"
"I7393-1.00";"NEN-EN-ISO 7393-1:2000 en";"Norm water-chemisch";"Water - Bepaling van het vrije chloorgehalte en het totale chloorgehalte - Deel 1: Titrimetrische methode met gebruik van <(cursief)N,N>-diethyl-1,4-phenylenediamine";11-06-2011;;"G"
"I7393-2.00";"NEN-EN-ISO 7393-2:2000 en";"Norm water-chemisch";"Water - Bepaling van het vrije chloorgehalte en het totale chloorgehalte - Deel 2: Colorimetrische methode met gebruik van <(cursief)N,N>-diethyl-1,4-phenylenediamine, voor routine controledoeleinden";11-06-2011;;"G"
"I7393-3.00";"NEN-EN-ISO 7393-3:2000 en";"Norm water-chemisch";"Water - Bepaling van het vrije chloorgehalte en het totale chloorgehalte - Deel 3: Jodometrische titratiemethode voor de bepaling van het totale chloorgehalte";11-06-2011;;"G"
"I7827.96";"NEN-EN-ISO 7827:1996 en";"Norm water-biologisch";"Bepaling van de totale aërobe bio-afbreekbaarheid van organische componenten in een waterig medium - Methode door analyse van opgeloste organische koolstof (DOC)";11-06-2011;;"G"
"I7828.94";"NEN-ISO 7828:1994 en";"Norm water-biologisch";"Water - Methoden voor biologische bemonstering - Richtlijn voor de bemonstering van bentische macro-invertebraten met een schepnet";11-06-2011;;"G"
"I7875-1.96";"ISO 7875-1:1996 en";"Norm water-chemisch";"Water quality - Determination of surfactants - Part 1: Determination of anionic surfactants by measurement of the methylene blue index (MBAS)";11-06-2011;;"G"
"I7875-2.84";"ISO 7875-2:1984 en";"Norm water-chemisch";"Water quality - Determination of surfactants - Part 2: Determination of non-ionic surfactants using Dragendorff reagent";11-06-2011;;"G"
"I7887.12";"NEN-EN-ISO 7887:2012 en";"Norm water-fysisch";"Water - Onderzoek en bepaling van de kleur";03-11-2012;;"G"
"I7887.94";"NEN-EN-ISO 7887:1994 en";"Norm vervallen";"Water - Onderzoek en bepaling van de kleur";03-11-2012;;"G"
"I7888.94";"NEN-ISO 7888:1994 en";"Norm water-fysisch";"Water - Bepaling van het elektrisch geleidingsvermogen";11-06-2011;;"G"
"I7890-3.99";"NEN-ISO 7890-3:1999 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan nitraat - Deel 3: Spectrometrische methode met zwavelsalicylzuur";11-06-2011;;"G"
"I7899-1.98";"NEN-EN-ISO 7899-1:1998 en";"Norm water-biologisch";"Water - Detectie en telling van enterococcen - Deel 1: Geminiaturiseerde methode (meest waarschijnlijke aantal) voor oppervlaktewater en afvalwater";11-06-2011;;"G"
"I7899-2.00";"NEN-EN-ISO 7899-2:2000 en";"Norm water-biologisch";"Water - Detectie en telling van enterococcen - Deel 2: Membraanfiltratiemethode";11-06-2011;;"G"
"I7980.00";"NEN-EN-ISO 7980:2000 en";"Norm water-chemisch";"Water - Bepaling van calcium en magnesium - Atomaire absorptie spectrometrische methode";11-06-2011;;"G"
"I7981-1.05";"NEN-ISO 7981-1:2005 en";"Norm water-chemisch";"Water - Bepaling van polycyclische aromatische koolwaterstoffen (PAK) - Deel 1: Bepaling van zes PAK met hoge prestatiedunnelaagchromatografie met fluorescentiedetectie na vloeistof-vloeistofextractie";11-06-2011;;"G"
"I7981-2.05";"NEN-ISO 7981-2:2005 en";"Norm water-chemisch";"Water - Bepaling van polycyclische aromatische koolwaterstoffen (PAK) - Deel 2: Bepaling van zes PAK met hogeprestatievloeistofchromatografie met fluorescentiedetectie na vloeistof-vloeistofextractie";11-06-2011;;"G"
"I8165-1.92";"ISO 8165-1:1992 en";"Norm water-chemisch";"Water - Bepaling van geselecteerde enkelwaardige fenolen - Deel 1: Gaschromatografische methode na verrijking met extractie";11-06-2011;;"G"
"I8165-2.99";"ISO 8165-2:1999 en";"Norm water-chemisch";"Water - Bepaling van geselecteerde enkelwaardige fenolen - Deel 2: Methode door derivatisering en gaschromatografie";11-06-2011;;"G"
"I8192.07";"NEN-EN-ISO 8192:2007 en";"Norm water-biologisch";"Water - Bepaling van de remming van het zuurstofverbruik van actief slib voor koolstof- en ammoniumoxidatie";11-06-2011;;"G"
"I8245.99";"ISO 8245:1999 en";"Norm water-chemisch";"Waterkwaliteit - Richtlijnen voor de bepaling van de totale organische koolstof (TOC) en opgeloste organische koolstof (DOC)";11-06-2011;;"G"
"I8265.94";"NEN-ISO 8265:1994 en";"Norm water-biologisch";"Water - Ontwerp en gebruik van kwantitatieve bemonsteringsapparatuur voor benthische macro-invertebraten op hard substraat in ondiep zoetwater";11-06-2011;;"G"
"I8288.86";"ISO 8288:1986 en";"Norm water-chemisch";"Water quality - Determination of cobalt, nickel, copper, zinc, cadmium and lead - Flame atomic absorption spectrometric methods";11-06-2011;;"G"
"I8467.95";"NEN-EN-ISO 8467:1995 en";"Norm water-fysisch";"Water - Bepaling van de permanganaatindex";11-06-2011;;"G"
"I8689-1.00";"NEN-EN-ISO 8689-1:2000 en";"Norm water-biologisch";"Waterkwaliteit - Biologische indeling van rivieren - Deel 1: Leidraad voor de beoordeling van biologische kwaliteitsgegevens uit onderzoeken van benthische macro-invertebraten";11-06-2011;;"G"
"I8689-2.00";"NEN-EN-ISO 8689-2:2000 en";"Norm water-biologisch";"Waterkwaliteit - Biologische indeling van rivieren - Deel 2: Richtlijn voor de presentatie van biologische kwaliteitsgegevens uit onderzoeken van benthische macro-invertebraten";11-06-2011;;"G"
"I8692.04";"NEN-EN-ISO 8692:2004 en";"Norm water-biologisch";"Waterkwaliteit - Groeiremmingsproef voor de zoetwateralgen met eencellige groene algen";11-06-2011;;"G"
"I9174.98";"ISO 9174:1998 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan chroom - Atomaire-absorptiespectrometrische methoden";11-06-2011;;"G"
"I9297.89";"ISO 9297:1989 en";"Norm water-chemisch";"Water quality - Determination of chloride - Silver nitrate titration with chromate indicator (Mohr's method)";11-06-2011;;"G"
"I9308-1.00";"NEN-EN-ISO 9308-1:2000 en";"Norm water-biologisch";"Water - Detectie en enumeratie van <(cursief)Escherichia coli> en bacteriën van de coligroep - Deel 1: Methode met membraanfiltratie";11-06-2011;;"G"
"I9308-3.99";"NEN-EN-ISO 9308-3:1999 en";"Norm water-biologisch";"Water - Bepaling en enumeratie van <(cursief)Escherichia coli> en bacteriën van de coligroep in oppervlaktewater en afvalwater - Deel 3: Geminiaturiseerde methode (meest waarschijnlijke aantal) door enting in een vloeibaar medium";11-06-2011;;"G"
"I9377-1.00";"NEN-EN-ISO 9377-1:2000 Ontw. en";"Norm water-chemisch";"Water - Bepaling van de minerale-olie-index - Deel 1: Methode met vloeistofextractie en gravimetrie";11-06-2011;;"G"
"I9377-2.00";"NEN-EN-ISO 9377-2:2000 en";"Norm water-chemisch";"Water - Bepaling van de minerale-olie-index - Deel 2: Methode met vloeistofextractie en gas-chromatografie";11-06-2011;;"G"
"I9377-4.99";"NEN-EN-ISO 9377-4:1999 Ontw. en";"Norm water-chemisch";"Waterkwaliteit - Bepaling van de minerale olie index - Deel 4: Methode met vloeistofextractie en gaschromatografie";11-06-2011;;"G"
"I9390.90";"ISO 9390:1990 en";"Norm water-chemisch";"Water quality - Determination of borate - Spectrometric method using azomethine-H";11-06-2011;;"G"
"I9391.95";"NEN-EN-ISO 9391:1995 en";"Norm water-biologisch";"Water - Bemonstering van macro-invertebraten in diepe wateren - Richtlijn voor het gebruik van kolonisatie, kwalitatieve en kwantitatieve bemonsteringsapparatuur";11-06-2011;;"G"
"I9408.99";"NEN-EN-ISO 9408:1999 en";"Norm water-biologisch";"Water - Bepaling van de totale aerobe bio-afbreekbaarheid van organische componenten in een waterig medium op basis van de bepaling van het zuurstofverbruik in een gesloten respirometer";11-06-2011;;"G"
"I9439.00";"NEN-EN-ISO 9439:2000 en";"Norm water-biologisch";"Water - Bepaling van de volledige aërobe bio-afbreekbaarheid van organische verbindingen in een waterig medium - Methode door middel van analyse van vrijgekomen koolstofdioxide";11-06-2011;;"G"
"I9509.06";"NEN-EN-ISO 9509:2006 en";"Norm water-biologisch";"Water - Methode voor de beoordeling van de remming van de nitrificatie van micro-organismen in actief slib";11-06-2011;;"G"
"I9562.04";"NEN-EN-ISO 9562:2004 en";"Norm water-chemisch";"Water - Bepaling van adsorbeerbare organisch gebonden halogenen (AOX)";11-06-2011;;"G"
"I9697.92";"ISO 9697:1992 en";"Norm water-fysisch";"Water quality - Measurement of gross beta activity in non-saline water";11-06-2011;;"G"
"I9698.89";"ISO 9698:1989 en";"Norm water-fysisch";"Water quality - Determination of tritium activity concentration - Liquid scintillation counting method";11-06-2011;;"G"
"I9887.94";"NEN-EN-ISO 9887:1994 en";"Norm water-biologisch";"Water - Bepaling van de aërobe bio-afbreekbaarheid van organische componenten in een waterig medium - Methode met semicontinu geactiveerde slib (SCAS)";11-06-2011;;"G"
"I9888.99";"NEN-EN-ISO 9888:1999 en";"Norm water-biologisch";"Water - Bepaling van de totale aërobe bio-afbreekbaarheid van organische componenten in een waterig medium - Statische proef (Zahn-Wellens methode)";11-06-2011;;"G"
"I9963-1.94";"ISO 9963-1:1994 en";"Norm water-chemisch";"Water quality - Determination of alkalinity - Part 1: Determination of total and composite alkalinity";11-06-2011;;"G"
